"data","indice","base"
2004-08-01,34.3706953952817,"12/2023"
2004-09-01,34.6078039115523,"12/2023"
2004-10-01,34.7220766335906,"12/2023"
2004-11-01,34.8748831805022,"12/2023"
2004-12-01,35.115535036991,"12/2023"
2005-01-01,35.4174571514202,"12/2023"
2005-02-01,35.6228232449024,"12/2023"
2005-03-01,35.8330614311846,"12/2023"
2005-04-01,36.0515674113095,"12/2023"
2005-05-01,36.3651530206237,"12/2023"
2005-06-01,36.543353505766,"12/2023"
2005-07-01,36.535971546978,"12/2023"
2005-08-01,36.6273601967735,"12/2023"
2005-09-01,36.6896639289442,"12/2023"
2005-10-01,36.8181100118554,"12/2023"
2005-11-01,37.0941952705266,"12/2023"
2005-12-01,37.298232611427,"12/2023"
2006-01-01,37.4324366221928,"12/2023"
2006-02-01,37.6533048291298,"12/2023"
2006-03-01,37.8077354069748,"12/2023"
2006-04-01,37.9702861394865,"12/2023"
2006-05-01,38.0500112943969,"12/2023"
2006-06-01,38.088102201743,"12/2023"
2006-07-01,38.0080817684811,"12/2023"
2006-08-01,38.0802773254277,"12/2023"
2006-09-01,38.0993227791008,"12/2023"
2006-10-01,38.1793432123627,"12/2023"
2006-11-01,38.305279429286,"12/2023"
2006-12-01,38.423981326597,"12/2023"
2007-01-01,38.6083826571213,"12/2023"
2007-02-01,38.7783153484211,"12/2023"
2007-03-01,38.9489862355996,"12/2023"
2007-04-01,39.0930820711414,"12/2023"
2007-05-01,39.1908192054945,"12/2023"
2007-06-01,39.3005151130842,"12/2023"
2007-07-01,39.4105062990254,"12/2023"
2007-08-01,39.5051430106876,"12/2023"
2007-09-01,39.6908730937937,"12/2023"
2007-10-01,39.7623304548615,"12/2023"
2007-11-01,39.8816229088756,"12/2023"
2007-12-01,40.0331007032054,"12/2023"
2008-01-01,40.3294125289557,"12/2023"
2008-02-01,40.5471803132017,"12/2023"
2008-03-01,40.7459026437747,"12/2023"
2008-04-01,40.9415245516567,"12/2023"
2008-05-01,41.1666742946907,"12/2023"
2008-06-01,41.49192339889,"12/2023"
2008-07-01,41.7990128844709,"12/2023"
2008-08-01,42.0204716481109,"12/2023"
2008-09-01,42.1381400711916,"12/2023"
2008-10-01,42.2476883396055,"12/2023"
2008-11-01,42.4378475979844,"12/2023"
2008-12-01,42.590654144896,"12/2023"
2009-01-01,42.7099465989101,"12/2023"
2009-02-01,42.914869774865,"12/2023"
2009-03-01,43.1509448169053,"12/2023"
2009-04-01,43.2371660955491,"12/2023"
2009-05-01,43.4447467766677,"12/2023"
2009-06-01,43.6489317567438,"12/2023"
2009-07-01,43.8060198397524,"12/2023"
2009-08-01,43.9111389328936,"12/2023"
2009-09-01,43.9769860052825,"12/2023"
2009-10-01,44.0825480159509,"12/2023"
2009-11-01,44.2059743668863,"12/2023"
2009-12-01,44.3872752747196,"12/2023"
2010-01-01,44.5514500381647,"12/2023"
2010-02-01,44.8855574929096,"12/2023"
2010-03-01,45.2356099786366,"12/2023"
2010-04-01,45.4707991856223,"12/2023"
2010-05-01,45.7300535782569,"12/2023"
2010-06-01,45.9267089603692,"12/2023"
2010-07-01,45.9267089603692,"12/2023"
2010-08-01,45.9312857748178,"12/2023"
2010-09-01,45.949593032612,"12/2023"
2010-10-01,46.156287878676,"12/2023"
2010-11-01,46.5025017458332,"12/2023"
2010-12-01,46.8884305512699,"12/2023"
2011-01-01,47.1838565419657,"12/2023"
2011-02-01,47.575543275257,"12/2023"
2011-03-01,47.9561570703663,"12/2023"
2011-04-01,48.3349991953665,"12/2023"
2011-05-01,48.7071975574575,"12/2023"
2011-06-01,48.9361859190612,"12/2023"
2011-07-01,49.009562589414,"12/2023"
2011-08-01,49.0879589917425,"12/2023"
2011-09-01,49.2695551779274,"12/2023"
2011-10-01,49.5307288798468,"12/2023"
2011-11-01,49.7437722104685,"12/2023"
2011-12-01,50.0024360464,"12/2023"
2012-01-01,50.2523891709617,"12/2023"
2012-02-01,50.5337894399603,"12/2023"
2012-03-01,50.7611537706307,"12/2023"
2012-04-01,50.8677492555295,"12/2023"
2012-05-01,51.1932936380803,"12/2023"
2012-06-01,51.3775473294288,"12/2023"
2012-07-01,51.41859102029,"12/2023"
2012-08-01,51.6397545055785,"12/2023"
2012-09-01,51.8514690836184,"12/2023"
2012-10-01,52.1470427134899,"12/2023"
2012-11-01,52.4547227557738,"12/2023"
2012-12-01,52.7694894784941,"12/2023"
2013-01-01,53.1864225108404,"12/2023"
2013-02-01,53.6438086773449,"12/2023"
2013-03-01,53.9656620805017,"12/2023"
2013-04-01,54.2193061844574,"12/2023"
2013-05-01,54.5175373194926,"12/2023"
2013-06-01,54.7192124335808,"12/2023"
2013-07-01,54.8615365990135,"12/2023"
2013-08-01,54.8779245475228,"12/2023"
2013-09-01,55.0096186923008,"12/2023"
2013-10-01,55.2021401774918,"12/2023"
2013-11-01,55.5167592610364,"12/2023"
2013-12-01,55.816614427005,"12/2023"
2014-01-01,56.3301034802983,"12/2023"
2014-02-01,56.6398504710428,"12/2023"
2014-03-01,57.0306513692795,"12/2023"
2014-04-01,57.5553609999306,"12/2023"
2014-05-01,57.9409945270158,"12/2023"
2014-06-01,58.2074832392626,"12/2023"
2014-07-01,58.4403102194361,"12/2023"
2014-08-01,58.4462157864665,"12/2023"
2014-09-01,58.5923785704689,"12/2023"
2014-10-01,58.926338386038,"12/2023"
2014-11-01,59.1737816446118,"12/2023"
2014-12-01,59.4755561198653,"12/2023"
2015-01-01,59.9394384101032,"12/2023"
2015-02-01,60.6826540208791,"12/2023"
2015-03-01,61.4229168481398,"12/2023"
2015-04-01,62.2337512014138,"12/2023"
2015-05-01,62.6756352544635,"12/2023"
2015-06-01,63.1393699055257,"12/2023"
2015-07-01,63.6382426804188,"12/2023"
2015-08-01,64.0327345580495,"12/2023"
2015-09-01,64.1735823317245,"12/2023"
2015-10-01,64.5200914772333,"12/2023"
2015-11-01,65.0490826439814,"12/2023"
2015-12-01,65.7060769761135,"12/2023"
2016-01-01,66.3367915349602,"12/2023"
2016-02-01,67.1792206718468,"12/2023"
2016-03-01,67.7838030965841,"12/2023"
2016-04-01,68.0752428295343,"12/2023"
2016-05-01,68.4905518309472,"12/2023"
2016-06-01,69.0247103688469,"12/2023"
2016-07-01,69.2662480603903,"12/2023"
2016-08-01,69.6264876492447,"12/2023"
2016-09-01,69.9328389389468,"12/2023"
2016-10-01,69.9887941865598,"12/2023"
2016-11-01,70.1708332902719,"12/2023"
2016-12-01,70.2972124247225,"12/2023"
2017-01-01,70.5080411677078,"12/2023"
2017-02-01,70.7760062717122,"12/2023"
2017-03-01,71.0095714477645,"12/2023"
2017-04-01,71.187033737028,"12/2023"
2017-05-01,71.286690180666,"12/2023"
2017-06-01,71.5077060267788,"12/2023"
2017-07-01,71.3432359849821,"12/2023"
2017-08-01,71.5144974288637,"12/2023"
2017-09-01,71.650325470563,"12/2023"
2017-10-01,71.7648934709527,"12/2023"
2017-11-01,72.0663726678547,"12/2023"
2017-12-01,72.2681954211186,"12/2023"
2018-01-01,72.5862102057057,"12/2023"
2018-02-01,72.7967436703394,"12/2023"
2018-03-01,73.0297182896887,"12/2023"
2018-04-01,73.0954177229019,"12/2023"
2018-05-01,73.2561967853046,"12/2023"
2018-06-01,73.5492605491882,"12/2023"
2018-07-01,74.4759916554338,"12/2023"
2018-08-01,74.7218108830742,"12/2023"
2018-09-01,74.6546350581034,"12/2023"
2018-10-01,75.0129553376729,"12/2023"
2018-11-01,75.3504584934603,"12/2023"
2018-12-01,75.1921892970456,"12/2023"
2019-01-01,75.3049856273262,"12/2023"
2019-02-01,75.5459327621666,"12/2023"
2019-03-01,75.8707389488386,"12/2023"
2019-04-01,76.4397403322177,"12/2023"
2019-05-01,76.8754235398854,"12/2023"
2019-06-01,76.975375261875,"12/2023"
2019-07-01,76.9830524990145,"12/2023"
2019-08-01,77.1293629221927,"12/2023"
2019-09-01,77.2142554482547,"12/2023"
2019-10-01,77.1833988605208,"12/2023"
2019-11-01,77.2606141494433,"12/2023"
2019-12-01,77.6546631095468,"12/2023"
2020-01-01,78.5477324837191,"12/2023"
2020-02-01,78.712645443043,"12/2023"
2020-03-01,78.9094484643311,"12/2023"
2020-04-01,78.9646655160653,"12/2023"
2020-05-01,78.7198797626553,"12/2023"
2020-06-01,78.4207627925655,"12/2023"
2020-07-01,78.62465249429,"12/2023"
2020-08-01,78.907676794222,"12/2023"
2020-09-01,79.0970978567221,"12/2023"
2020-10-01,79.6033525904032,"12/2023"
2020-11-01,80.2879554484023,"12/2023"
2020-12-01,81.0025290590808,"12/2023"
2021-01-01,82.0960924339352,"12/2023"
2021-02-01,82.3013108882416,"12/2023"
2021-03-01,83.0090930968351,"12/2023"
2021-04-01,83.7810983468841,"12/2023"
2021-05-01,84.040795657046,"12/2023"
2021-06-01,84.738390762512,"12/2023"
2021-07-01,85.187509135174,"12/2023"
2021-08-01,86.0052825297087,"12/2023"
2021-09-01,86.7535178724604,"12/2023"
2021-10-01,87.7598264944406,"12/2023"
2021-11-01,88.8567855703375,"12/2023"
2021-12-01,89.7009863773332,"12/2023"
2022-01-01,90.3557661218289,"12/2023"
2022-02-01,90.8437135977157,"12/2023"
2022-03-01,91.7612910750642,"12/2023"
2022-04-01,93.2478699357917,"12/2023"
2022-05-01,94.236314217505,"12/2023"
2022-06-01,94.679231744785,"12/2023"
2022-07-01,95.3136372830258,"12/2023"
2022-08-01,94.6655013014393,"12/2023"
2022-09-01,94.3247500837852,"12/2023"
2022-10-01,94.0511746911019,"12/2023"
2022-11-01,94.6061503527838,"12/2023"
2022-12-01,94.9939984675053,"12/2023"
2023-01-01,95.582931139612,"12/2023"
2023-02-01,96.0894811516446,"12/2023"
2023-03-01,96.8966245255246,"12/2023"
2023-04-01,97.5846230845662,"12/2023"
2023-05-01,98.1799042412306,"12/2023"
2023-06-01,98.4056445409676,"12/2023"
2023-07-01,98.3269528602876,"12/2023"
2023-08-01,98.4449165617198,"12/2023"
2023-09-01,98.6713950573357,"12/2023"
2023-10-01,98.9279919448065,"12/2023"
2023-11-01,99.1653957394287,"12/2023"
2023-12-01,99.4431050290332,"12/2023"
2024-01-01,100,"12/2023"
2024-02-01,100.420033455037,"12/2023"
2024-03-01,101.253456602202,"12/2023"
2024-04-01,101.415416778011,"12/2023"
2024-05-01,101.800755026745,"12/2023"
2024-06-01,102.269066492256,"12/2023"
2024-07-01,102.483881492986,"12/2023"
2024-08-01,102.873353638641,"12/2023"
2024-09-01,102.852831793211,"12/2023"
2024-10-01,103.305345866915,"12/2023"
2024-11-01,103.883796157543,"12/2023"
2024-12-01,104.288918055828,"12/2023"
2025-01-01,104.831196748395,"12/2023"
2025-02-01,104.998914852058,"12/2023"
2025-03-01,106.374469052614,"12/2023"
2025-04-01,106.970193126806,"12/2023"
2025-05-01,107.430236798474,"12/2023"
2025-06-01,107.709570119012,"12/2023"
2025-07-01,107.968086315768,"12/2023"
2025-08-01,108.248748388887,"12/2023"
2025-09-01,108.129603574049,"12/2023"
2025-10-01,108.648555276846,"12/2023"
2025-11-01,108.746292411199,"12/2023"
2025-12-01,108.942061958256,"12/2023"
2026-01-01,109.301563351232,"12/2023"
2026-02-01,109.662245857614,"12/2023"
2026-03-01,110.42982193239,"12/2023"
2026-04-01,111.401582987242,"12/2023"
2026-05-01,112.148046659885,"12/2023"
2026-06-01,112.798544868284,"12/2023"
2026-07-01,112.978959941062,"12/2023"
