nome_legado,nome_proposto,problema,publicado,acao
populacao_urbana_residente_agua,snis_populacao_urbana_residente_area_atendida_agua_i,Sem prefixo; 'residente_agua' e construcao opaca do SNIS,False,renomear
populacao_urbana_atendida_esgoto,snis_populacao_urbana_atendida_esgoto_i,Sem prefixo de fonte; character em meio_ambiente.RData apesar de contagem,True,renomear
extensao_rede_agua,snis_extensao_rede_agua_km,Sem unidade no nome (km) e sem prefixo de fonte,False,renomear
extensao_rede_esgoto,snis_extensao_rede_esgoto_km,Sem unidade no nome (km) e sem prefixo de fonte,True,renomear
quantidade_sede_municipal_agua,snis_sedes_municipais_atendidas_agua_i,Prefixo quantidade_ generico compartilhado com a dim 14; character apesar de contagem,False,renomear
quantidade_sede_municipal_esgoto,snis_sedes_municipais_atendidas_esgoto_i,Idem; prefixo generico e tipo character,False,renomear
quantidade_ligacao_total_agua,snis_ligacoes_agua_i,Prefixo generico; 'total' redundante; tipo character,False,renomear
quantidade_ligacao_total_esgoto,snis_ligacoes_esgoto_i,Prefixo generico; 'total' redundante; tipo character,False,renomear
quantidade_empregado,snis_empregados_prestador_i,"Singular, sem fonte; sao empregados do PRESTADOR de saneamento, nao do municipio",False,renomear
despesa_pessoal,snis_despesa_pessoal_prestador_brl2023,"Generico, sem fonte; e despesa de pessoal do prestador de saneamento e esta deflacionada (saneamento.R:186-190) sem marca no nome",False,renomear
arrecadacao_total,snis_arrecadacao_prestador_brl2023,"Generico, sem fonte; colide conceitualmente com as receitas do SICONFI (dim 6); deflacionada sem marca",False,renomear
investimento_agua_municipio,snis_investimento_agua_fonte_municipio_brl2023,"Deflacionado (saneamento.R:186-190) sem sufixo; 'municipio' aqui e a FONTE do investimento, nao a unidade geografica",False,renomear
investimento_agua_estado,snis_investimento_agua_fonte_estado_brl2023,Idem: sufixo designa a fonte do recurso e se confunde com recorte geografico,False,renomear
investimento_agua_prestador,snis_investimento_agua_fonte_prestador_brl2023,Idem,False,renomear
investimento_esgoto_municipio,snis_investimento_esgoto_fonte_municipio_brl2023,Idem,False,renomear
investimento_esgoto_estado,snis_investimento_esgoto_fonte_estado_brl2023,Idem,False,renomear
investimento_esgoto_prestador,snis_investimento_esgoto_fonte_prestador_brl2023,Idem,False,renomear
indice_atendimento_total_agua,snis_indice_atendimento_total_agua_pct,Sem prefixo de fonte e sem escala (percentual),False,renomear
indice_atendimento_esgoto_agua,snis_indice_atendimento_esgoto_sobre_populacao_agua_pct,Nome ilegivel: e o indice de atendimento de esgoto referido a populacao atendida com AGUA. Sem escala,True,renomear
total_desastres,s2id_desastres_i,"Prefixo total_ generico, sem fonte (S2iD/Atlas de Desastres) e sem sufixo de contagem",True,renomear
total_pessoas_afetadas,s2id_pessoas_afetadas_desastre_i,Idem; nao diz que e afetadas POR DESASTRE,True,renomear
total_danos_materiais,s2id_danos_materiais_brl2023,Valor monetario sem unidade e sem indicacao de deflacao,True,renomear
total_prejuizos_publicos,s2id_prejuizos_publicos_brl2023,Valor monetario sem unidade e sem indicacao de deflacao,True,renomear
total_prejuizos_privados,s2id_prejuizos_privados_brl2023,Valor monetario sem unidade e sem indicacao de deflacao,True,renomear
total_desastres_climatologicos,s2id_desastres_climatologicos_i,Prefixo total_ generico; a familia tem 20 colunas (5 metricas x 4 tipos) com o mesmo defeito,True,renomear
total_desastres_hidrologicos,s2id_desastres_hidrologicos_i,Idem,True,renomear
total_desastres_meteorologicos,s2id_desastres_meteorologicos_i,Idem,True,renomear
total_desastres_outros,s2id_desastres_outros_i,'outros' como categoria residual nao documentada,False,renomear
Cod_IBGE_Mun,id_municipio,Title Case com underscore no bruto de desastres; usado como chave em meio_ambiente.R:82,False,renomear
geocod_ibge,id_municipio,Grafia alternativa da chave nos CSV do AdaptaBrasil; joins em meio_ambiente.R:122-142,False,renomear
CD_MUN,id_municipio,Caixa alta (malha IBGE); convertido a mao em desmatamento.R:44,False,renomear
area_total_municipio,area_municipio_km2,Sem unidade (km2); 'total' redundante,False,renomear
desmatado_total_municipio,area_desmatada_municipio_km2,"Particulo usado como substantivo, sem unidade (km2) e sem fonte (MapBiomas/PRODES)",False,renomear
desmatado_total_amazonia,area_desmatada_bioma_amazonia_km2,"Idem; e a parcela desmatada do bioma dentro do municipio, nao o desmatamento do bioma",False,renomear
desmatado_total_caatinga,area_desmatada_bioma_caatinga_km2,"Idem (mesma familia: cerrado, mata_atlantica, pampa, pantanal)",False,renomear
proporcao_desmatado,area_desmatada_sobre_area_municipio_prop,Escala 0-1 sem sufixo; denominador (area_total_municipio) so visivel no codigo (desmatamento.R:67),False,renomear
lag_total_desmatado,area_desmatada_municipio_km2_lag1,Nome de OPERACAO (lag) em vez de conceito; ordem do lag nao explicita (desmatamento.R:75),False,renomear
taxa_crescimento_desmatamento_abs,variacao_absoluta_area_desmatada_km2,Contradicao interna: 'taxa' e 'abs' (absoluto) no mesmo nome; sem unidade,False,renomear
id,adapta_id_indicador,"Nome maximamente generico (id interno do indicador AdaptaBrasil) que sobrevive ate a base publicada, posicao 97 de renomear_variaveis.R:44",False,renomear
AB1.1,adapta_capacidade_investimento_adaptacao,Codigo opaco com PONTO no nome; existe assim em meio_ambiente.RData e so vira capacidade_investimento_adaptacao no passo posicional,False,renomear
AB1.2,adapta_capacidade_investimento_adaptacao_classe,Codigo com ponto; e a CLASSE categorica do indicador anterior,False,renomear
cidades_resilientes,adapta_indice_adesao_programa_cidades_resilientes,Nome plural que parece uma lista/contagem de cidades; e o indicador de adesao do municipio ao programa (AB6.1),False,renomear
NM_UF / nm_uf,,Caixa alta herdada do shapefile IBGE; redundante com nome_uf do diretorio. Publicado como nm_uf na posicao 85,False,remover
id_municipio_nome,,Prefixo id_ para um campo de texto; redundante com nome_municipio. Publicado na posicao 84 (vem do desmatamento),False,remover
va,valor_adicionado_bruto_brl2023,"Nome de duas letras, maximamente generico (valor adicionado bruto). PUBLICADO",False,renomear
va_adespss,valor_adicionado_administracao_publica_brl2023,"Sigla opaca (administracao, defesa, educacao e saude publicas e seguridade social). PUBLICADO",False,renomear
va_agropecuaria,valor_adicionado_agropecuaria_brl2023,Prefixo va_ nao expandido; sem unidade nem deflacao no nome,False,renomear
va_industria,valor_adicionado_industria_brl2023,Idem,False,renomear
va_servicos,valor_adicionado_servicos_brl2023,Idem,False,renomear
sigla_uf_nome,,Prefixo sigla_ mas o conteudo e o NOME da UF por extenso. PUBLICADO (posicao 122); duplica nome_uf,False,remover
pib,pib_brl2023,Sem unidade nem indicacao de deflacao no nome (pib_municipal.R:76 deflaciona para 12/2023); integer64 na origem,True,renomear
pib_per_capita,pib_per_capita_brl2023,"Sem unidade; o denominador (populacao da propria dim 4) foi REMOVIDO da base em municipalityBR.qmd:97, tornando o indicador nao reproduzivel",True,renomear
impostos_liquidos,impostos_liquidos_brl2023,Sem unidade nem deflacao no nome,False,renomear
impostos_pib,razao_impostos_sobre_pib_prop,"E uma razao, mas o nome parece uma justaposicao de dois indicadores",False,renomear
dependencia_adm,participacao_va_administracao_publica_prop,'dependencia' sem denominador explicito (participacao do VA da administracao publica no VA total); 'adm' abreviado enquanto as irmas nao sao,False,renomear
dependencia_agro,participacao_va_agropecuaria_prop,Idem; 'agro' abreviado enquanto va_agropecuaria nao e,False,renomear
dependencia_industria,participacao_va_industria_prop,'dependencia' sem denominador explicito,False,renomear
dependencia_servicos,participacao_va_servicos_prop,'dependencia' sem denominador explicito,False,renomear
log_pib,ln_pib_brl2023,Transformacao no nome sem dizer a base (e logaritmo natural),False,renomear
log_pib_per_capita,ln_pib_per_capita_brl2023,Idem; e uma das colunas consumidas por scripts/artigo,True,renomear
log_valor_adicionado,ln_valor_adicionado_bruto_brl2023,"Idem; e o log de va, cujo nome curto ja e ambiguo",False,renomear
ano_avs,ano_ref_ivs,Sigla opaca (AVS = Atlas da Vulnerabilidade Social); e o ano censitario 2000/2010 replicado sobre 1996-2015 em sociedade.R,False,renomear
ivs,ivs,Sigla sem expansao e sem escala; e uma das colunas consumidas pelo artigo,True,renomear
ivs_infraestrutura_urbana,ivs_infraestrutura_urbana,Subindice sem escala no nome,False,renomear
proporcao_vulnerabilidade_socioeconomica,vulnerabilidade_socioeconomica_pct,Prefixo proporcao_ sem sufixo de escala; escala real 0-100,False,renomear
prosperidade_social,classe_prosperidade_social,"Nome sugere indice numerico, mas o tipo e character (classe categorica)",False,renomear
total_receitas_fundeb,siconfi_deducao_fundeb_brl2023,"O NOME MENTE: e a DEDUCAO do FUNDEB, nao uma receita (siconfi.R:94, sum(valor[deducao_fundeb == 1])). Esta entre as colunas consumidas por scripts/artigo",True,renomear
total_transferencias_constitucionais,siconfi_deducao_transferencias_constitucionais_brl2023,"Tambem e uma DEDUCAO (siconfi.R:95, estagio == 'Deducoes - Transferencias Constitucionais'), nao a transferencia recebida",False,renomear
total_receitas_outras_deducoes,siconfi_deducao_outras_brl2023,Nome hibrido 'receitas' + 'deducoes'; e so deducao (siconfi.R:96),False,renomear
total_receitas_brutas,siconfi_receitas_brutas_brl2023,Sem prefixo de fonte nem marca de deflacao (deflacionada em siconfi.R:119-122),False,renomear
total_receitas_realizadas,siconfi_receitas_realizadas_brl2023,Idem,False,renomear
total_receitas_proprias,siconfi_receitas_proprias_brl2023,Idem; a regra de 'receita propria' esta so no case_when de siconfi.R:59,False,renomear
total_receitas_proprias_realizadas,siconfi_receitas_proprias_realizadas_brl_nominal,"UNICA coluna monetaria de financas que NAO entra no across de deflacao (siconfi.R:119-122): fica em reais nominais entre irmas deflacionadas para 12/2023, com nome indistinguivel",False,renomear
razao_receitas_proprias,siconfi_receitas_proprias_sobre_receitas_brutas_prop,"Escala 0-1 sem sufixo; denominador e total_receitas, que tem dupla contagem",False,renomear
razao_receitas_proprias_realizadas,siconfi_receitas_proprias_realizadas_sobre_realizadas_prop,"Idem, escala 0-1 sem sufixo",False,renomear
localidade_gasto,emendas_localidade_gasto_texto,PUBLICADO e generico; e o texto livre 'Municipio - UF' da CGU usado como chave de pareamento (Emendas/script.R:40),False,renomear
localidade_gasto_2,,PUBLICADO com sufixo numerico sem significado; e localidade_gasto sem a UF e em minusculas (script.R:61-62),False,remover
tipo_emenda,,"PUBLICADO, mas constante apos o filtro tipo_emenda == 'Emenda Individual - Transferencias' (script.R:53) - coluna sem variancia",False,remover
valor_total,emendas_valor_total_brl2023,Nome maximamente generico no intermediario (script.R:79); so vira valor_emendas_total no passo posicional,False,renomear
Comércio.e.serviços,emendas_valor_comercio_servicos_brl2023,"Title Case, acento e PONTOS (make.names sobre o pivot_wider de script.R:80); nome de funcao orcamentaria virando nome de coluna",False,renomear
Ciência.e.Tecnologia,emendas_valor_ciencia_tecnologia_brl2023,"Title Case inconsistente (Tecnologia com T maiusculo, ao contrario das irmas), acento e pontos",False,renomear
Organização.agrária,emendas_valor_organizacao_agraria_brl2023,Acento e ponto,False,renomear
Assistência.social,emendas_valor_assistencia_social_brl2023,Acento e ponto; colide com o nome da dimensao 8,False,renomear
Direitos.da.cidadania,emendas_valor_direitos_cidadania_brl2023,Acento e dois pontos,False,renomear
Segurança.pública,emendas_valor_seguranca_publica_brl2023,Acento e ponto; colide com o nome da dimensao 14,False,renomear
Gestão.ambiental,emendas_valor_gestao_ambiental_brl2023,Acento e ponto; colide conceitualmente com a dimensao 3,False,renomear
Previdência.social,emendas_valor_previdencia_social_brl2023,Acento e ponto,False,renomear
Encargos.especiais,emendas_valor_encargos_especiais_brl2023,Ponto,False,renomear
Desporto.e.lazer,emendas_valor_desporto_lazer_brl2023,Ponto,False,renomear
Defesa.nacional,emendas_valor_defesa_nacional_brl2023,Ponto,False,renomear
ano_emenda,ano,Variante de ano usada como chave de join em financas_municipais.R,False,renomear
dimensao_financas_municipais,dimensao_financas,Unica flag que acrescenta um qualificador ('municipais') ausente do nome da dimensao no dicionario ('Financas'),False,renomear
comiss_direta,munic_comissionados_adm_direta_prop,"Abreviacao opaca; e uma PROPORCAO 0-1 (comissionados/total) convivendo com contagens na mesma tabela, sem sufixo de escala",False,renomear
comiss_indireta,munic_comissionados_adm_indireta_prop,Idem,False,renomear
administracao_indireta,munic_existe_administracao_indireta_cat,"Nome sugere booleano; e character com 6 rotulos ('Sim','Nao','Recusa','Nao informou','Nao informado') e, so em 2011, uma CONTAGEM numerica - dois conceitos incompativeis no mesmo nome",False,renomear
estatutarios_direta,munic_vinculos_estatutarios_adm_direta_i,"Sem prefixo de fonte, sem sufixo de contagem; 'direta' = administracao direta, colide com qualquer outro uso de direta/indireta",False,renomear
clt_direta,munic_vinculos_clt_adm_direta_i,"Idem (mesma familia: comissionados_direta, estagiarios_direta, sem_vinculo_permanente_direta e os seis analogos _indireta)",False,renomear
total_funcionarios_direta,munic_vinculos_totais_adm_direta_i,'total' sem qualificar que e ESTOQUE de vinculos ativos no ano de referencia da pesquisa Munic,False,renomear
total_funcionarios_indireta,munic_vinculos_totais_adm_indireta_i,Idem,False,renomear
Cod.Municipio,id_municipio,Title Case com PONTO no cabecalho da aba de 2018; corrigido a mao em munic_RH.R:210,False,renomear
A1,id_municipio,"Nome bruto sem significado nas abas de 2009, 2011, 2012, 2013, 2014, 2015",False,renomear
dimensao_assistencia_direitos_humanos,dimensao_assistencia_social_direitos_humanos,"Falta 'social': diverge do nome da pasta, do objeto e do dicionario (renomear_variaveis.R:80)",False,renomear
total_violacoes,disque100_denuncias_violacoes_i,Generico: nao identifica a fonte (Disque 100) nem o recorte (denuncias de violacao de direitos humanos); colide com contagens de violencia das dims 11 e 14. Alem disso e redundante por construcao (som,False,renomear
total_violacoes_crianca_adolescente,disque100_denuncias_crianca_adolescente_i,"Prefixo total_ generico, sem fonte (mesma familia: _lgbtq, _pcd, _pessoa_idosa, _religiao)",False,renomear
grupo_vuneravel,grupo_vulneravel,"Erro de digitacao (falta o 'l' de vulneravel) no header dos 5 brutos do Disque 100 (BCA.csv, BIDOSO.csv, DISCRELIG.csv, BLGBT.xlsx)",False,renomear
Ano (Disque 100),ano,"Coexiste com 'ano' no mesmo arquivo bruto, diferindo so por Title Case; disque100.R usa o minusculo",False,renomear
Cod.Munic,id_municipio,"Ponto no nome (Base_MUNIC_2023.xlsx); munic_DH.R:12 supoe 'CodMun', que nao existe na planilha",False,renomear
Cod.Uf,id_uf,Ponto no nome (Munic),False,renomear
Desc.Mun,nome_municipio,Ponto no nome e abreviacao (Munic); o script supoe 'Mun',False,renomear
codigo_ibge (CadUnico),id_municipio,Grafia alternativa da chave na saida legada CadUnico/2_output/cadunico.csv,False,renomear
codigo_ibge_6_dig,id_municipio_6,"Grafia alternativa do codigo de 6 digitos (cadunico.Rmd:48, script.R:43)",False,renomear
municipio (Disque 100),nome_municipio,"E o NOME do municipio e serve de chave de fato do join (disque100.R:11,146) - pareamento por texto",False,renomear
NOME_MUNICIPIO,,Caixa alta isolada no meio de colunas snake_case; unica maiuscula que sobrevive ate a dimensao consolidada e so morre em municipalityBR.qmd:492,False,remover
COD_MUN_IBGE,id_municipio,Caixa alta; renomeada no join de energia_internet.R:47,False,renomear
ANO (dim 9),ano,Caixa alta; renomeada no join de energia_internet.R:47,False,renomear
elecov_00 / elecov_10,cobertura_eletricidade_pct,"Abreviacao opaca no CSV de origem, alem do ano de 2 digitos",False,renomear
domicilios_atendidos_lpt_2004_2020,lpt_domicilios_atendidos_acumulado_i,Faixa de anos embutida no nome da coluna,False,renomear
domicilios_atendidos_lpt_ano,lpt_domicilios_atendidos_i,Sufixo '_ano' ambiguo (e o fluxo do ano) num painel cuja chave ja e ano,False,renomear
media_densidade_banda_larga_anual_capital,anatel_bl_densidade_media_anual_capital_uf,O sufixo _capital designa a CAPITAL DA UF mas le-se como per capita,False,renomear
media_densidade_telefonia_movel_anual_capital,anatel_tm_densidade_media_anual_capital_uf,"Idem: _capital = capital da UF, nao per capita",False,renomear
prop_densidade_banda_larga_rel_capital,anatel_bl_densidade_sobre_capital_uf_prop,Escala inconsistente: percentual no intermediario (bandalarga.R:79) e razao pura na dimensao (energia_internet.R:17),False,renomear
prop_densidade_telefonia_movel_rel_capital,anatel_tm_densidade_sobre_capital_uf_prop,Mesma inconsistencia de escala (telefonia.R:74 vs energia_internet.R:29),False,renomear
media_densidade_banda_larga_anual,anatel_bl_densidade_media_anual_por_100_dom,Sem unidade no nome (acessos por 100 domicilios),False,renomear
media_densidade_telefonia_movel_anual,anatel_tm_densidade_media_anual_por_100_dom,Sem unidade no nome,False,renomear
total_institucoes,censup_instituicoes_ensino_superior_i,"ERRO DE DIGITACAO publicado (falta o 'i' de instituicoes) enquanto as nove colunas irmas escrevem certo; origem censo_educacao_superior.R:53, congelado em renomear_variaveis.R:93",False,renomear
total_instituicoes_federais,censup_ies_federais_i,"'instituicoes' de que nao esta no nome (sao IES do Censo da Educacao Superior); prefixo total_ generico. Mesma familia: _estaduais, _municipais, _especial, _privada_com_fins_lucrativos, _privada_sem_f",False,renomear
media_ideb,ideb_nota_media_municipio,"Media NAO PONDERADA de todas as linhas do municipio, incluindo as tres redes; convive com media_ideb_rede_* sem hierarquia explicita no nome",False,renomear
media_saeb,ideb_nota_saeb_padronizada_media,"Atribui a fonte SAEB a um dado que vem da coluna nota_saeb_media_padronizada da tabela do IDEB (mesma familia: _fundamental, _medio, _anos_finais, _anos_iniciais, _rede_*)",False,renomear
media_projecao,ideb_meta_projetada_media,"'projecao' de que indicador nao esta no nome: e a META do IDEB (mesma familia: _fundamental, _medio, _anos_finais, _anos_iniciais, _rede_*)",False,renomear
media_ideb_anos_finais,ideb_nota_media_ef_anos_finais,"'anos' aqui significa SERIES escolares, no meio de uma base cuja chave temporal tambem se chama ano",False,renomear
media_ideb_anos_iniciais,ideb_nota_media_ef_anos_iniciais,Idem; e um recorte que se SOBREPOE a media_ideb_fundamental sem prefixo que indique o eixo de corte,False,renomear
ano_ideb,ano_ref_ideb,"Ano da EDICAO da avaliacao (impares 2005-2023, numeric) convivendo com ano do painel (character); nada no nome indica que e a chave que distingue medicao de valor replicado",False,renomear
Código Município Completo,id_municipio,Acento e espacos (arquivo DTB do IBGE); renomeado em ideb.R:20 (fonte morta),False,renomear
cobertura_haemophilus_influenza_b,pni_cobertura_haemophilus_influenzae_b_pct,"Grafia incorreta do agente (o correto e Haemophilus influenzae tipo b); Imunizacoes/imunizacoes.R:31, congelado em renomear_variaveis.R:99",False,renomear
proporcao_cobertura_estrategia_saude_familia,cobertura_esf_pct,"Prefixo 'proporcao' com escala 0-100 (mediana 99,52, max 100); e uma das colunas consumidas por scripts/artigo",True,renomear
proporcao_cobertura_total_atencao_basica,cobertura_atencao_basica_pct,Mesma inconsistencia: 'proporcao' com escala 0-100 (mediana 100),False,renomear
cobertura_total,pni_cobertura_vacinal_agregada_pct,"'total' de que: e a cobertura vacinal agregada do SI-PNI, mas o nome sugere cobertura de servico de saude",False,renomear
cobertura_triplice_viral_d1,pni_cobertura_triplice_viral_dose1_pct,"Sufixos d1/d2 nao explicados (1a e 2a dose), enquanto o par do IEPS usa 'tvd1'",False,renomear
cobertura_poliomielite_4anos,pni_cobertura_poliomielite_reforco_4a_pct,Idade embutida no meio do nome sem separador semantico,False,renomear
cob_ab,ieps_cobertura_atencao_basica_pct,"Abreviacao criptica sem prefixo de fonte (IEPS); redundante com proporcao_cobertura_total_atencao_basica (correlacao 0,916). E uma das colunas consumidas por scripts/artigo",True,renomear
cob_acs,ieps_cobertura_acs_pct,Abreviacao criptica (agentes comunitarios de saude) sem prefixo de fonte,False,renomear
cob_esf,ieps_cobertura_esf_pct,"Abreviacao criptica; redundante com proporcao_cobertura_estrategia_saude_familia (correlacao 0,940)",False,renomear
cob_priv,ieps_cobertura_plano_privado_pct,Abreviacao criptica; e cobertura de PLANO PRIVADO e se confunde facilmente com cobertura publica,False,renomear
cob_vac_hepb,ieps_cobertura_hepatite_b_ate_30d_pct,"O nome sugere hepatite B em geral, mas o codebook define 'cobertura em criancas ate 30 dias'; correlacao 0,061 com cobertura_hepatite_b",False,renomear
tx_mort,ieps_taxa_mortalidade_p100k,Prefixo tx_ sem unidade no nome (e por 100 mil hab.); compete com total_mortalidade da dim 14,False,renomear
tx_mort_csap,ieps_taxa_mortalidade_csap_p100k,Sigla CSAP (condicoes sensiveis a atencao primaria) nao expandida e sem unidade; e uma das colunas consumidas por scripts/artigo,True,renomear
tx_mort_evit,ieps_taxa_mortalidade_evitavel_p100k,Abreviacao 'evit' (evitavel) e sem unidade,False,renomear
tx_mort_aj_oms / tx_mort_csap_aj_oms / tx_mort_evit_aj_oms,ieps_taxa_mortalidade_padronizada_oms_p100k,"'aj' = ajustada e 'oms' = padrao de referencia OMS, ambos indecifraveis sem codebook",False,renomear
tx_mort_csap_aj_cens,ieps_taxa_mortalidade_csap_padronizada_censo_p100k,'aj_cens' = padronizada pela estrutura etaria censitaria; sem unidade. E uma das colunas consumidas por scripts/artigo,True,renomear
tx_hosp,ieps_taxa_hospitalizacao_p100k,Sem unidade no nome; e uma das colunas consumidas por scripts/artigo,True,renomear
tx_hosp_csap,ieps_taxa_hospitalizacao_csap_p100k,Sigla CSAP nao expandida e sem unidade,False,renomear
tx_med_ch / tx_enf_ch,ieps_taxa_medicos_equivalente_carga_horaria_p1k,"'_ch' = carga horaria, indecifravel sem codebook",False,renomear
pct_mort_maldef,ieps_obitos_causas_mal_definidas_pct,Abreviacao 'maldef' (causas mal definidas),False,renomear
pct_desp_recp_saude_mun,ieps_despesa_saude_sobre_receita_propria_pct,"Tres abreviacoes empilhadas ('desp', 'recp' = receita propria, 'mun'); colide conceitualmente com a dimensao 6 (SICONFI)",False,renomear
desp_tot_saude_pc_mun / desp_recp_saude_pc_mun,ieps_despesa_total_saude_per_capita_brl_nominal,Abreviacoes empilhadas; versao NOMINAL convivendo com a _def sem que o nome diga qual e qual,False,renomear
desp_tot_saude_pc_mun_def / desp_recp_saude_pc_mun_def,ieps_despesa_total_saude_per_capita_brl2023,'_def' esconde a base de deflacao (ano/indice),False,renomear
gasto_pbf_pc_def,gasto_bolsa_familia_per_capita_brl2023,Conceitualmente pertence a assistencia social e nao a saude; '_def' esconde a base de deflacao; sigla PBF nao expandida. E uma das colunas consumidas por scripts/artigo,True,renomear
ano_inicio,ano_inicio_tarifa_zero,'inicio' de que nao esta no nome; generico o bastante para colidir com qualquer marco temporal de politica. So 106 linhas nao-NA,False,renomear
tarifas,tarifa_onibus_urbano_brl2023,"Plural generico, sem unidade (R$), sem dizer que e passagem de onibus urbano e sem marca de deflacao - e o MESMO NOME em duas escalas (nominal x 12/2023)",False,renomear
municipio_Tarifa_Zero,,"Title Case misturado com snake_case E o conteudo e o NOME do municipio, nao uma flag; sobrevive assim ate base_municipios_brasileiros1.csv",False,remover
comprometimento_salario_minimo,comprometimento_tarifa_sobre_salario_minimo_prop,Sem 'renda' e sem escala no nome (fracao 0-1); denominador so no nome parcialmente,False,renomear
comprometimento_renda_domesticas_negras,comprometimento_tarifa_sobre_renda_domesticas_negras_prop,Sem escala no nome (fracao 0-1),False,renomear
Código IBGE,id_municipio,Acento e espaco (Banco_Santini_2024.xlsx); renomeado em Script_MunicipalityBR.R:16 e coagido a character em :84,False,renomear
População (Censo 2022),populacao_residente_2022_i,"Acento, espaco, parenteses e ano embutido no nome da coluna",False,renomear
Cidades com Tarifa Zero universal no Brasil,nome_municipio,"FRASE INTEIRA como nome de coluna (aba 'vigentes'), enquanto a aba 'encerradas' usa 'Cidade' - as duas abas do mesmo arquivo nao tem esquema compativel",False,renomear
qtd_uh,mcmv_unidades_contratadas_i,"Sigla 'uh' (unidades habitacionais) opaca, sem prefixo de fonte nem de programa (MCMV/FGTS)",False,renomear
qtd_uh_entregues,mcmv_unidades_entregues_coorte_i,Nao diz se sao entregues acumuladas ou no ano; na pratica e a soma dos contratos assinados no ano (entregues de coorte),False,renomear
qtd_uh_vigentes,mcmv_unidades_vigentes_em_20240930_i,'vigente' e um ESTOQUE medido na data_referencia (30/09/2024) imputado ao ano de assinatura - estoque tratado como fluxo,False,renomear
qtd_uh_distratadas,mcmv_unidades_distratadas_em_20240930_i,Mesmo problema de estoque-vs-fluxo,False,renomear
val_contratado,mcmv_valor_contratado_brl2023,"Nome generico de valor monetario, sem fonte, sem programa e sem sufixo _def apesar de deflacionado para 12/2023 (habitacao.R:60-61); convive com 22 colunas valor_emendas_* que sao outro universo",False,renomear
val_desembolsado,mcmv_valor_desembolsado_brl2023,Idem; e a coluna mais afetada pelo bug de escala 100x,False,renomear
val_contratado_total,mcmv_valor_contratado_empreendimento_brl2023,Renomeado para val_contratado em mcmv.Rmd:68/84; a perda do sufixo apaga a informacao de que o valor bruto ja e um total do empreendimento,False,renomear
cod_ibge (dim 13),id_municipio_6,Codigo de 6 digitos formatado com PONTO DE MILHAR ('110.020') no CSV bruto; descartado em mcmv.Rmd:37,False,renomear
txt_nome_municipio,nome_municipio,Prefixo txt_ (tipo) no nome; grafia unica no pipeline,False,renomear
dimensao_habitacao,eliminar,Flag sempre 1 para todos os 5.570 municipios em todos os anos do esqueleto 2007-2023: nao informa cobertura,False,renomear
