id_municipio,ano,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
1302702,2015,5112,4315,597,4912,200,103,73.51,77.02
1302801,2015,2656,2473,116,2589,67,2013,81.82,82.68
1302900,2015,9761,9268,125,9393,368,372,86.2,86.77
1303007,2015,3663,3348,202,3550,113,65,85.38,86.9
1303106,2015,4113,3701,260,3961,152,199,81.72,85.4
1303205,2015,2039,1671,250,1921,118,51,69.63,72.16
1303304,2015,3082,2640,274,2914,168,565,86.3,89.22
1303403,2015,15054,13078,985,14063,991,840,85.6,86.15
1303502,2015,2675,2450,191,2641,34,324,81.92,83.05
1303536,2015,4541,3571,564,4135,406,54,74.61,78.47
1303569,2015,3684,3125,368,3493,191,35,80.89,81.76
1303601,2015,2699,2306,89,2395,304,739,81.98,82.81
1303700,2015,4274,3589,535,4124,150,917,81.11,92.21
1303809,2015,6042,5579,343,5922,120,1706,78.4,80.24
1303908,2015,3512,2874,489,3363,149,98,72.11,74.53
1303957,2015,1683,1255,279,1534,149,113,80.33,83.5
1304005,2015,1590,1467,70,1537,53,230,76.11,77.04
1304062,2015,8690,7302,958,8260,430,57,81.1,86.05
1304104,2015,3379,2332,770,3102,277,8,86.64,88.42
1304203,2015,8582,7661,650,8311,271,617,81.56,83.01
1304237,2015,2811,2526,192,2718,93,267,86.57,89.64
1304260,2015,1854,1642,169,1811,43,91,85.2,86.32
1304302,2015,2522,2216,228,2444,78,314,75.53,76.27
1304401,2015,2990,2672,192,2864,126,472,85.16,86.05
1400027,2015,1374,1052,234,1286,88,725,82.17,83.39
1400050,2015,2697,2568,42,2610,87,172,86.69,88.41
1400100,2015,43027,24159,11160,35319,7708,630,78.5,78.74
1400159,2015,2024,1735,162,1897,127,289,69.12,69.43
1400175,2015,2701,2140,339,2479,222,117,82.85,84.4
1400209,2015,3577,2803,509,3312,265,862,79.96,81.45
1400233,2015,1497,1084,232,1316,181,90,69.59,70.29
1400282,2015,1830,1422,273,1695,135,372,86.11,85.77
1400308,2015,3099,2572,389,2961,138,14,83.03,84.47
1400407,2015,1467,1366,72,1438,29,301,84.35,85.59
1400456,2015,2041,1626,266,1892,149,10,81.18,83.42
1400472,2015,3456,2347,719,3066,390,223,62.43,62.9
1400506,2015,1150,870,195,1065,85,57,78.12,80.8
1400605,2015,1109,876,141,1017,92,91,73.24,75.66
1400704,2015,1095,877,162,1039,56,545,74.74,73.74
1500107,2015,25099,21228,2817,24045,1054,4224,73.1,74.55
1500131,2015,1303,1061,126,1187,116,433,77.42,77.42
1500206,2015,10567,9570,679,10249,318,263,84.74,85.37
1500305,2015,5940,5345,446,5791,149,51,84.65,85.47
1500347,2015,3493,3064,236,3300,193,1515,81.38,81.92
1500404,2015,9590,7915,860,8775,815,127,74.78,80.63
1500503,2015,4816,4319,344,4663,153,1459,83.82,84.78
1500602,2015,13257,10125,2036,12161,1096,683,76.09,76.99
1500701,2015,5273,4643,192,4835,438,992,88.42,90.78
1500800,2015,52657,33478,10680,44158,8499,525,74.95,74.47
1500859,2015,3692,3358,208,3566,126,546,68.86,70.32
1500909,2015,7741,6486,891,7377,364,243,77.03,77.66
1500958,2015,3920,3290,348,3638,282,148,74.36,75.91
1501006,2015,2510,2059,309,2368,142,1635,75.87,76.31
1501105,2015,3070,2880,184,3064,6,446,93.51,93.67
1501204,2015,4648,4207,342,4549,99,25,74.27,74.68
1501253,2015,470,348,60,408,62,119,62.41,62
1501303,2015,16146,13185,1915,15100,1046,237,73.83,74.93
1501402,2015,114854,95174,13185,108359,6495,2294,72.89,73.36
1501451,2015,3370,2854,285,3139,231,472,74.11,76.3
1501501,2015,9168,7039,1423,8462,706,365,77.21,78.34
1501576,2015,2055,1452,350,1802,253,83,65.67,66.64
1501600,2015,2438,1920,376,2296,142,33,79.13,79.94
1501709,2015,15926,12754,2210,14964,962,416,72.99,73.05
1501725,2015,2365,1755,341,2096,269,55,76.91,77.91
1501758,2015,1570,1318,158,1476,94,46,79.77,80.65
1501782,2015,7760,5615,1248,6863,897,46,76.31,76.63
1501808,2015,13442,12213,924,13137,305,695,74.31,75.67
1501907,2015,5542,5074,293,5367,175,646,79.06,80.29
1501956,2015,4385,3886,312,4198,187,82,85.54,88.32
1502004,2015,3934,3629,152,3781,153,1606,74.86,75.34
1502103,2015,20517,18039,1825,19864,653,276,83.29,83.62
1502152,2015,5343,3245,1396,4641,702,38,77.68,77.92
1502202,2015,8199,5727,1786,7513,686,39,67.05,69.42
1502301,2015,9159,6756,1458,8214,945,73,79.74,81.76
1502400,2015,25435,14409,7854,22263,3172,187,71.04,72.05
1502509,2015,2621,2292,272,2564,57,76,63.78,64.86
1502608,2015,1126,835,222,1057,69,32,54.87,54.65
1502707,2015,5983,4188,890,5078,905,134,68.7,73.81
1502756,2015,4638,3856,614,4470,168,229,78.7,80.17
1502764,2015,1416,1105,152,1257,159,283,66.54,66.71
1502772,2015,3744,2871,467,3338,406,40,76.8,79.49
1502806,2015,4586,3849,617,4466,120,264,78.91,79.6
1502855,2015,2500,1886,446,2332,168,74,90.09,89.76
1502905,2015,7762,6984,455,7439,323,1103,80.36,80.95
1502939,2015,7172,3346,1844,5190,1982,53,72.32,69.93
1502954,2015,6125,4155,980,5135,990,105,84.95,86.88
1503002,2015,1609,1337,193,1530,79,527,86.45,86.98
1503044,2015,2805,2107,436,2543,262,365,67.81,71.17
1503077,2015,5514,4826,475,5301,213,38,84.79,88.15
1503093,2015,4435,3403,665,4068,367,96,71.06,71.83
1503101,2015,5640,4935,515,5450,190,1792,93.39,93.99
1503200,2015,7535,6555,481,7036,499,98,80.35,81.33
1503309,2015,10576,8977,1101,10078,498,438,77.52,79.34
1503408,2015,1972,1578,264,1842,130,25,81.69,82.82
1503457,2015,5232,4466,474,4940,292,104,79.61,80.56
1503507,2015,6647,5658,611,6269,378,165,86.9,88.3
1503606,2015,14638,10958,2081,13039,1599,651,68.95,70.53
1503705,2015,7634,6398,758,7156,478,118,77.58,77.68
1503754,2015,2447,2250,143,2393,54,28,85.41,86.07
1503804,2015,7881,6498,655,7153,728,128,79.31,81.74
1503903,2015,5659,4579,796,5375,284,34,71.93,73.33
1504000,2015,5008,4343,484,4827,181,83,86.44,87.25
1504059,2015,6761,5241,842,6083,678,85,82.13,83.21
1504109,2015,1275,888,295,1183,92,62,82.31,81.86
1504208,2015,24205,11725,8058,19783,4422,241,65.62,64.17
1504307,2015,6321,5345,704,6049,272,37,88.52,89.13
1504406,2015,4456,3903,406,4309,147,98,82.82,83.7
1504422,2015,16279,11440,2953,14393,1886,81,77.26,77.26
1504455,2015,3968,3221,511,3732,236,151,77.07,78.25
1504505,2015,3706,3360,278,3638,68,74,85.35,86.99
1504604,2015,5020,4489,393,4882,138,1196,76.73,81.13
1504703,2015,13697,13068,324,13392,305,89,79.35,80.81
1504752,2015,2768,2356,231,2587,181,69,94.92,96.35
1504802,2015,10940,9181,1069,10250,690,137,79.84,80.84
1504901,2015,5938,5395,425,5820,118,46,86.95,87.25
1504950,2015,4262,4030,159,4189,73,316,87.65,88.43
1504976,2015,1956,1370,415,1785,171,21,69.93,71.03
1505007,2015,2613,2157,291,2448,165,26,83.19,84.03
1505031,2015,2680,2121,251,2372,308,252,70.01,72.44
1505064,2015,7939,6245,1074,7319,620,120,68.6,70.15
1505106,2015,7439,5701,1199,6900,539,656,77.52,78.5
1505205,2015,5961,5757,153,5910,51,14,89.77,90.64
1505304,2015,10191,8216,1116,9332,859,12,83.5,85.33
1505403,2015,3641,2978,326,3304,337,125,78.62,79.9
1505437,2015,4758,3461,761,4222,536,294,84.27,84.74
1505486,2015,7234,6643,268,6911,323,3694,78.61,80.39
1505494,2015,1610,1421,84,1505,105,396,77.4,78.96
1505502,2015,13933,8669,3812,12481,1452,193,69.4,71.77
1505536,2015,16982,8531,5177,13708,3274,204,73.03,71.85
1505551,2015,1445,1054,193,1247,198,556,85.75,86.65
1505601,2015,1511,1152,267,1419,92,108,77.21,77.75
1505635,2015,1943,1469,363,1832,111,203,67.41,69.02
1505650,2015,3346,2769,323,3092,254,55,88.4,89.85
1505700,2015,4859,4211,534,4745,114,104,86.42,86.66
1505809,2015,7602,7071,397,7468,134,179,80.19,80.88
1505908,2015,4061,3773,187,3960,101,163,71.48,72.31
1506005,2015,6562,5977,361,6338,224,938,83.76,84.32
1506104,2015,1852,1532,223,1755,97,261,78.04,81.06
1506112,2015,1934,1687,153,1840,94,143,71.39,72.78
1506138,2015,8219,4877,1937,6814,1405,131,67.31,67.09
1506161,2015,2220,904,817,1721,499,66,72.17,72.86
1506187,2015,5103,3702,953,4655,448,49,79.49,79.8
1506195,2015,4257,3414,567,3981,276,288,81.56,82.52
1506203,2015,4799,4035,396,4431,368,30,75.53,76.51
1506302,2015,4700,4120,355,4475,225,2308,81.91,82.53
1506351,2015,2763,1715,766,2481,282,60,67.98,68.34
1506401,2015,1677,1512,110,1622,55,776,94.63,95.02
1506500,2015,8918,5845,2213,8058,860,143,71.49,73.42
1506559,2015,3594,2942,465,3407,187,35,72.97,73.42
1506583,2015,3593,2605,550,3155,438,22,81.38,81.71
1506609,2015,4690,3471,914,4385,305,208,84.71,87.55
1506708,2015,5267,4113,411,4524,743,172,74.93,77.06
1506807,2015,42199,26359,10613,36972,5227,1600,75.53,75.54
1506906,2015,1723,1347,245,1592,131,232,84.41,86.85
1507003,2015,5280,4214,742,4956,324,746,85.02,87.7
1507102,2015,3600,2863,487,3350,250,269,84.58,88.15
1507151,2015,3238,2537,408,2945,293,73,64.79,68.06
1507201,2015,5111,4302,584,4886,225,271,79.12,80.6
1507300,2015,7424,6141,736,6877,547,676,75.67,75.22
1507409,2015,2753,1990,572,2562,191,34,74.22,77.49
1507458,2015,3948,3096,532,3628,320,324,73.84,75.37
1507466,2015,1029,818,165,983,46,194,73.39,74.35
1507474,2015,4510,3617,485,4102,408,207,83.98,87.22
1507508,2015,2885,2383,318,2701,184,1237,89.95,90.72
1507607,2015,8468,6718,1238,7956,512,398,76.57,77.38
1507706,2015,4212,3804,192,3996,216,2009,72.99,73.78
1507755,2015,680,441,157,598,82,103,59.44,60.28
1507805,2015,2612,2412,119,2531,81,1586,80.46,80.34
1507904,2015,3666,2986,418,3404,262,504,73.88,74.16
1507953,2015,11852,8936,1919,10855,997,311,77.24,79.42
1507961,2015,2378,1927,228,2155,223,15,79.45,79.43
1507979,2015,3108,2579,323,2902,206,37,85.08,86.29
1508001,2015,10173,8445,1070,9515,658,611,73.85,75.4
1508035,2015,3852,3044,587,3631,221,45,59.17,59.56
1508050,2015,1952,1558,265,1823,129,58,74.5,74.77
1508084,2015,4042,1863,1499,3362,680,22,69.97,71.12
1508100,2015,13520,9855,2025,11880,1640,210,70.55,73.98
1508126,2015,3598,2723,642,3365,233,1273,68.33,69.87
1508159,2015,6130,5142,521,5663,467,34,72.33,74.75
1508209,2015,9611,8005,857,8862,749,589,84.53,88.03
1508308,2015,9675,8240,806,9046,629,2712,74.48,75.67
1508357,2015,1681,1197,390,1587,94,105,79.44,81.59
1508407,2015,5559,3470,1255,4725,834,588,80.37,83.34
1600055,2015,618,543,49,592,26,322,83.51,85.05
1600105,2015,636,634,2,636,0,351,46.62,46.76
1600154,2015,1526,1457,46,1503,23,228,90.45,91.14
1600204,2015,1493,1310,140,1450,43,33,73.58,77.12
1600212,2015,829,718,92,810,19,36,87.35,88.62
1600238,2015,838,784,49,833,5,238,81.43,82.06
1600253,2015,1161,1139,14,1153,8,1006,90.49,90.93
1600279,2015,6477,5416,748,6164,313,143,79.22,81.89
1600303,2015,35753,25949,6467,32416,3337,1102,78.51,80.32
1600402,2015,3954,3700,174,3874,80,77,91.99,92.37
1600501,2015,2513,1905,406,2311,202,15,78.5,80.94
1600535,2015,2427,2105,270,2375,52,60,87.2,87.57
1600550,2015,449,424,24,448,1,302,71.04,72.02
1600600,2015,11933,10639,1198,11837,96,283,76.43,80.95
1600709,2015,2156,1861,166,2027,129,1279,85.69,85.38
1600808,2015,2192,2089,68,2157,35,1859,84.17,84.02
1700251,2015,374,290,64,354,20,40,71.1,73.9
1700301,2015,860,506,262,768,92,18,73.31,75.36
1700350,2015,1051,606,304,910,141,27,68.73,75.39
1700400,2015,1567,1111,328,1439,128,333,82.82,86.16
1700707,2015,1125,707,220,927,198,153,61.81,65.18
1701002,2015,1530,1286,135,1421,109,177,62.22,66.68
1701051,2015,557,327,128,455,102,48,72.81,76.34
1701101,2015,612,365,188,553,59,38,58.28,62.55
1701309,2015,1077,642,260,902,175,36,78.72,79.05
1701903,2015,1167,543,363,906,261,7,73.07,76.52
1702000,2015,1275,428,395,823,452,20,77.22,78.3
1702109,2015,23078,10714,7819,18533,4545,230,72.04,73.18
1702158,2015,960,674,163,837,123,63,80.74,83.53
1702208,2015,4254,2960,986,3946,308,115,74.39,75.23
1702307,2015,1073,597,306,903,170,182,74.35,76.13
1702406,2015,1994,1438,295,1733,261,39,74.15,77.53
1702554,2015,2737,1745,623,2368,369,11,80.54,83.97
1702703,2015,746,414,118,532,214,2,72.14,75.24
1702901,2015,2215,1909,111,2020,195,612,77.99,78.69
1703008,2015,1351,895,242,1137,214,67,69.06,70.35
1703057,2015,514,316,119,435,79,10,65.98,70.84
1703073,2015,808,504,200,704,104,84,74.33,78.22
1703107,2015,1146,673,240,913,233,18,70.04,74.89
1703206,2015,862,342,268,610,252,17,75.34,75.03
1703305,2015,548,461,55,516,32,269,71.35,73.92
1703602,2015,353,194,89,283,70,6,75.75,73.89
1703701,2015,1184,694,258,952,232,11,84.93,87.41
1703800,2015,1181,730,292,1022,159,1,65.39,70.82
1703826,2015,394,288,65,353,41,4,70.73,74.94
1703842,2015,1031,707,241,948,83,22,65.79,66.1
1703867,2015,633,405,170,575,58,81,68.58,72.87
1703883,2015,387,209,111,320,67,31,59.9,61.89
1703891,2015,772,593,106,699,73,46,83.73,84.21
1703909,2015,901,673,107,780,121,372,70,70.46
1704105,2015,446,284,88,372,74,130,81.23,80.69
1704600,2015,235,113,72,185,50,16,46.81,54.73
1705102,2015,677,345,194,539,138,133,85.26,84.61
1705508,2015,5330,1801,2172,3973,1357,21,77.82,79.33
1705557,2015,1010,575,260,835,175,13,74.37,78.84
1705607,2015,797,513,143,656,141,11,77.37,81.69
1706001,2015,1085,854,114,968,117,44,80.54,81.07
1706100,2015,1156,778,224,1002,154,156,72.43,79.27
1706258,2015,263,113,98,211,52,2,60.45,64.32
1706506,2015,857,478,264,742,115,49,68.5,70.06
1707009,2015,2757,1476,832,2308,449,44,66.93,69.53
1707108,2015,1424,874,281,1155,269,72,77.64,79.05
1707207,2015,1453,1139,168,1307,146,20,78.03,83.67
1707306,2015,693,435,163,598,95,4,68.14,72.66
1707405,2015,1699,1289,267,1556,143,97,76.56,81.38
1707553,2015,583,289,189,478,105,30,72.24,73.65
1707652,2015,804,489,171,660,144,7,58.94,63.33
1707702,2015,1361,1014,252,1266,95,72,77.9,80.02
1708205,2015,2415,1719,544,2263,152,38,65.8,69.33
1708254,2015,460,264,134,398,62,59,62.75,68.26
1708304,2015,1253,1010,84,1094,159,28,89.18,90.26
1709005,2015,1788,1514,175,1689,99,170,69.46,69.5
1709302,2015,2895,1745,793,2538,357,63,76.95,78.62
1709500,2015,9115,3435,3405,6840,2275,113,64.99,67.29
1709807,2015,374,203,107,310,64,16,73.76,81.36
1710508,2015,1294,1022,161,1183,111,19,87.37,89.35
1710706,2015,1126,846,217,1063,63,59,73.69,76.58
1710904,2015,772,601,104,705,67,3,73.94,81.69
1711100,2015,475,253,117,370,105,8,77.99,81.49
1711506,2015,454,308,55,363,91,26,53.09,59.21
1711803,2015,554,252,129,381,173,2,79.02,78.88
1711902,2015,1023,709,244,953,70,44,61.22,65.14
1711951,2015,666,448,143,591,75,18,81.21,83.59
1712009,2015,442,245,120,365,77,12,64.43,66.6
1712157,2015,345,173,97,270,75,26,74.83,76.27
1712405,2015,604,445,120,565,39,4,83.19,84.7
1712454,2015,433,209,159,368,65,4,67.65,71.59
1712504,2015,736,399,183,582,154,36,67.46,67.28
1712702,2015,243,169,61,230,13,7,58.27,59.12
1712801,2015,715,429,174,603,112,32,80.97,82.71
1713205,2015,2859,1744,695,2439,420,31,73.49,74.04
1713304,2015,2182,1292,537,1829,353,183,74.64,77.33
1713601,2015,981,779,127,906,75,11,67.6,71.11
1713700,2015,476,326,100,426,50,16,70.93,74.08
1713809,2015,849,531,223,754,95,4,63.35,67.44
1713957,2015,731,396,171,567,164,76,80.86,81.23
1714203,2015,1421,739,410,1149,272,52,62.4,67.27
1714302,2015,785,500,176,676,109,37,74.26,77.52
1714880,2015,2082,1442,402,1844,238,33,83.34,85.56
1715002,2015,595,460,71,531,64,36,74.18,76.51
1715101,2015,655,516,88,604,51,321,72.29,74.75
1715150,2015,312,181,83,264,48,35,62.4,67.34
1715259,2015,435,304,91,395,40,3,68.39,74.24
1715507,2015,216,110,62,172,44,0,68.57,71.07
1715705,2015,1005,767,128,895,110,99,80.4,82.26
1715754,2015,1425,694,381,1075,350,96,74.37,74.39
1716109,2015,3514,1685,1208,2893,621,197,64.85,64.43
1716208,2015,2090,1737,170,1907,183,431,81.29,85.17
1716307,2015,627,432,115,547,80,11,68.15,72.54
1716505,2015,1425,670,412,1082,343,25,64.21,63.23
1716604,2015,1836,1146,337,1483,353,9,74.12,78.21
1716653,2015,1136,742,222,964,172,14,75.58,80
1716703,2015,1333,764,370,1134,199,70,67.35,69.48
1717008,2015,873,619,134,753,120,74,79,79.51
1717206,2015,493,324,106,430,63,9,68.75,72.63
1717503,2015,898,394,283,677,221,8,73.97,71.79
1717800,2015,830,473,184,657,173,42,71.79,74.82
1717909,2015,1017,821,127,948,69,35,68.25,73.83
1718006,2015,446,324,79,403,43,177,66.96,68.42
1718204,2015,7180,4326,1704,6030,1150,278,70.41,70.78
1718303,2015,1028,709,247,956,72,7,72.59,75.45
1718402,2015,591,485,45,530,61,8,74.52,78.51
1718451,2015,462,263,110,373,89,52,62.01,65.32
1718501,2015,677,532,105,637,40,131,70.66,75.56
1718550,2015,668,512,93,605,63,21,58.59,58.79
1718659,2015,310,196,76,272,38,20,66.23,68.34
1718709,2015,543,290,162,452,91,20,73.47,77.26
1718758,2015,975,706,167,873,102,22,73.69,79.43
1718808,2015,449,395,38,433,16,57,54.82,54.32
1718840,2015,714,317,241,558,156,13,73.91,80.98
1718865,2015,919,381,343,724,195,8,63.51,63.28
1718881,2015,577,301,146,447,130,33,81.96,82.62
1718899,2015,377,250,87,337,40,13,75.09,74.72
1718907,2015,978,635,200,835,143,136,80.89,83.16
1719004,2015,429,275,100,375,54,4,87.55,87.2
1720002,2015,414,263,102,365,49,69,73.53,75.41
1720101,2015,857,673,125,798,59,21,71.53,72.15
1720150,2015,250,175,38,213,37,1,74.85,76.89
1720200,2015,1789,1439,267,1706,83,44,78.63,81.19
1720259,2015,572,297,140,437,135,26,79.77,82.6
1720309,2015,936,722,131,853,83,206,81.17,83.87
1720499,2015,1075,697,69,766,309,46,80.52,77.37
1720655,2015,1022,863,25,888,134,9,77.77,80.72
1720804,2015,1676,1140,344,1484,192,147,66.71,70.36
1720853,2015,358,120,147,267,91,6,67.67,71.58
1720903,2015,2919,2158,296,2454,465,36,84.97,87.64
1720937,2015,379,268,60,328,51,36,62.95,70.08
1720978,2015,441,244,124,368,73,12,66.11,69.43
1721000,2015,24644,9980,8263,18243,6401,964,74.71,72.92
1721109,2015,1268,967,191,1158,110,19,75.56,77.82
1721208,2015,3798,2695,622,3317,481,495,72.68,77.42
1721257,2015,152,87,40,127,25,8,56.5,56.69
1721307,2015,388,252,61,313,75,83,69.53,70.65
1722081,2015,1650,1148,351,1499,151,124,76.81,78.11
1722107,2015,2013,1327,462,1789,224,103,79.59,80.76
2100055,2015,15598,9200,4278,13478,2120,79,71.49,73.8
2100105,2015,1102,837,161,998,104,25,70.14,71.13
2100154,2015,2828,2437,188,2625,203,221,85.23,88.65
2100204,2015,5150,4689,239,4928,222,197,73.45,74.97
2100303,2015,4336,3886,310,4196,140,25,78.47,81.36
2100402,2015,1470,1318,77,1395,75,220,78.06,80.58
2100436,2015,4661,3332,689,4021,640,681,70.86,70.92
2100477,2015,4833,3973,577,4550,283,344,73.96,76.43
2100501,2015,1635,1038,399,1437,198,5,69.75,75
2100550,2015,1168,949,152,1101,67,10,67.71,70.12
