codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
120045,201512,3490,3287,135,3422,68,1924,81.61,82.08
120050,201512,6476,5309,925,6234,242,291,81.07,82.02
120060,201512,6628,5878,638,6516,112,3211,89.55,90.08
120070,201512,2176,1794,316,2110,66,84,81.25,81.46
120080,201512,2698,2304,297,2601,97,326,75.48,77.22
130002,201512,2639,2367,180,2547,92,75,86.24,88.8
130006,201512,1794,1358,243,1601,193,7,90.83,92.43
130008,201512,1729,1503,148,1651,78,651,81.44,83.0
130010,201512,2264,2116,91,2207,57,41,75.69,84.98
130014,201512,2042,1556,289,1845,197,227,63.33,65.05
130020,201512,2267,1923,260,2183,84,1787,83.71,83.41
130030,201512,5678,5220,305,5525,153,349,77.33,78.48
130040,201512,3209,2547,319,2866,343,33,83.41,83.58
130050,201512,4295,3931,244,4175,120,77,69.54,73.56
130060,201512,4850,4238,514,4752,98,373,86.49,88.97
130063,201512,2890,2647,166,2813,77,50,79.76,79.64
130068,201512,2708,2008,504,2512,196,262,86.96,89.74
130070,201512,5188,4346,480,4826,362,38,76.17,80.4
130080,201512,4066,3343,560,3903,163,23,79.55,80.24
130083,201512,1737,1441,226,1667,70,42,81.09,82.72
130090,201512,1978,1788,135,1923,55,1388,76.31,77.1
130100,201512,4630,4437,108,4545,85,3060,81.55,82.48
130110,201512,5075,4535,366,4901,174,123,76.35,78.7
130115,201512,3675,3235,300,3535,140,78,83.44,85.73
130120,201512,11315,9659,946,10605,710,395,78.6,78.33
130130,201512,3408,3173,192,3365,43,40,90.08,90.62
130140,201512,5511,5279,145,5424,87,2491,87.53,87.62
130150,201512,2200,2064,124,2188,12,1881,65.16,66.34
130160,201512,3461,3136,232,3368,93,39,82.95,83.63
130165,201512,2363,2012,243,2255,108,1026,82.99,83.14
130170,201512,7155,5849,653,6502,653,790,79.07,82.12
130180,201512,2821,2698,83,2781,40,264,80.78,81.89
130185,201512,9359,7703,675,8378,981,1073,83.04,83.02
130190,201512,13271,10272,1781,12053,1218,340,76.91,80.07
130195,201512,1662,1553,80,1633,29,17,85.4,87.32
130200,201512,1679,1360,201,1561,118,41,83.78,85.58
130210,201512,974,884,57,941,33,372,78.67,80.63
130220,201512,1450,1035,350,1385,65,10,72.79,76.64
130230,201512,2938,2428,351,2779,159,382,80.49,82.09
130240,201512,6668,5965,398,6363,305,1607,78.66,82.01
130250,201512,16239,13845,1633,15478,761,1666,82.12,83.27
130255,201512,3139,2843,153,2996,143,28,75.78,77.31
130260,201512,161993,107230,39096,146326,15667,1442,65.39,66.4
130270,201512,5112,4315,597,4912,200,103,73.51,77.02
130280,201512,2656,2473,116,2589,67,2013,81.82,82.68
130290,201512,9761,9268,125,9393,368,372,86.2,86.77
130300,201512,3663,3348,202,3550,113,65,85.38,86.9
130310,201512,4113,3701,260,3961,152,199,81.72,85.4
130320,201512,2039,1671,250,1921,118,51,69.63,72.16
130330,201512,3082,2640,274,2914,168,565,86.3,89.22
130340,201512,15054,13078,985,14063,991,840,85.6,86.15
130350,201512,2675,2450,191,2641,34,324,81.92,83.05
130353,201512,4541,3571,564,4135,406,54,74.61,78.47
130356,201512,3684,3125,368,3493,191,35,80.89,81.76
130360,201512,2699,2306,89,2395,304,739,81.98,82.81
130370,201512,4274,3589,535,4124,150,917,81.11,92.21
130380,201512,6042,5579,343,5922,120,1706,78.4,80.24
130390,201512,3512,2874,489,3363,149,98,72.11,74.53
130395,201512,1683,1255,279,1534,149,113,80.33,83.5
130400,201512,1590,1467,70,1537,53,230,76.11,77.04
130406,201512,8690,7302,958,8260,430,57,81.1,86.05
130410,201512,3379,2332,770,3102,277,8,86.64,88.42
130420,201512,8582,7661,650,8311,271,617,81.56,83.01
130423,201512,2811,2526,192,2718,93,267,86.57,89.64
130426,201512,1854,1642,169,1811,43,91,85.2,86.32
130430,201512,2522,2216,228,2444,78,314,75.53,76.27
130440,201512,2990,2672,192,2864,126,472,85.16,86.05
140002,201512,1374,1052,234,1286,88,725,82.17,83.39
140005,201512,2697,2568,42,2610,87,172,86.69,88.41
140010,201512,43027,24159,11160,35319,7708,630,78.5,78.74
140015,201512,2024,1735,162,1897,127,289,69.12,69.43
140017,201512,2701,2140,339,2479,222,117,82.85,84.4
140020,201512,3577,2803,509,3312,265,862,79.96,81.45
140023,201512,1497,1084,232,1316,181,90,69.59,70.29
140028,201512,1830,1422,273,1695,135,372,86.11,85.77
140030,201512,3099,2572,389,2961,138,14,83.03,84.47
140040,201512,1467,1366,72,1438,29,301,84.35,85.59
140045,201512,2041,1626,266,1892,149,10,81.18,83.42
140047,201512,3456,2347,719,3066,390,223,62.43,62.9
140050,201512,1150,870,195,1065,85,57,78.12,80.8
140060,201512,1109,876,141,1017,92,91,73.24,75.66
140070,201512,1095,877,162,1039,56,545,74.74,73.74
150010,201512,25099,21228,2817,24045,1054,4224,73.1,74.55
150013,201512,1303,1061,126,1187,116,433,77.42,77.42
150020,201512,10567,9570,679,10249,318,263,84.74,85.37
150030,201512,5940,5345,446,5791,149,51,84.65,85.47
150034,201512,3493,3064,236,3300,193,1515,81.38,81.92
150040,201512,9590,7915,860,8775,815,127,74.78,80.63
150050,201512,4816,4319,344,4663,153,1459,83.82,84.78
150060,201512,13257,10125,2036,12161,1096,683,76.09,76.99
150070,201512,5273,4643,192,4835,438,992,88.42,90.78
150080,201512,52657,33478,10680,44158,8499,525,74.95,74.47
150085,201512,3692,3358,208,3566,126,546,68.86,70.32
150090,201512,7741,6486,891,7377,364,243,77.03,77.66
150095,201512,3920,3290,348,3638,282,148,74.36,75.91
150100,201512,2510,2059,309,2368,142,1635,75.87,76.31
150110,201512,3070,2880,184,3064,6,446,93.51,93.67
150120,201512,4648,4207,342,4549,99,25,74.27,74.68
150125,201512,470,348,60,408,62,119,62.41,62.0
150130,201512,16146,13185,1915,15100,1046,237,73.83,74.93
150140,201512,114854,95174,13185,108359,6495,2294,72.89,73.36
150145,201512,3370,2854,285,3139,231,472,74.11,76.3
150150,201512,9168,7039,1423,8462,706,365,77.21,78.34
150157,201512,2055,1452,350,1802,253,83,65.67,66.64
150160,201512,2438,1920,376,2296,142,33,79.13,79.94
150170,201512,15926,12754,2210,14964,962,416,72.99,73.05
150172,201512,2365,1755,341,2096,269,55,76.91,77.91
150175,201512,1570,1318,158,1476,94,46,79.77,80.65
150178,201512,7760,5615,1248,6863,897,46,76.31,76.63
150180,201512,13442,12213,924,13137,305,695,74.31,75.67
150190,201512,5542,5074,293,5367,175,646,79.06,80.29
150195,201512,4385,3886,312,4198,187,82,85.54,88.32
150200,201512,3934,3629,152,3781,153,1606,74.86,75.34
150210,201512,20517,18039,1825,19864,653,276,83.29,83.62
150215,201512,5343,3245,1396,4641,702,38,77.68,77.92
150220,201512,8199,5727,1786,7513,686,39,67.05,69.42
150230,201512,9159,6756,1458,8214,945,73,79.74,81.76
150240,201512,25435,14409,7854,22263,3172,187,71.04,72.05
150250,201512,2621,2292,272,2564,57,76,63.78,64.86
150260,201512,1126,835,222,1057,69,32,54.87,54.65
150270,201512,5983,4188,890,5078,905,134,68.7,73.81
150275,201512,4638,3856,614,4470,168,229,78.7,80.17
150276,201512,1416,1105,152,1257,159,283,66.54,66.71
150277,201512,3744,2871,467,3338,406,40,76.8,79.49
150280,201512,4586,3849,617,4466,120,264,78.91,79.6
150285,201512,2500,1886,446,2332,168,74,90.09,89.76
150290,201512,7762,6984,455,7439,323,1103,80.36,80.95
150293,201512,7172,3346,1844,5190,1982,53,72.32,69.93
150295,201512,6125,4155,980,5135,990,105,84.95,86.88
150300,201512,1609,1337,193,1530,79,527,86.45,86.98
150304,201512,2805,2107,436,2543,262,365,67.81,71.17
150307,201512,5514,4826,475,5301,213,38,84.79,88.15
150309,201512,4435,3403,665,4068,367,96,71.06,71.83
150310,201512,5640,4935,515,5450,190,1792,93.39,93.99
150320,201512,7535,6555,481,7036,499,98,80.35,81.33
150330,201512,10576,8977,1101,10078,498,438,77.52,79.34
150340,201512,1972,1578,264,1842,130,25,81.69,82.82
150345,201512,5232,4466,474,4940,292,104,79.61,80.56
150350,201512,6647,5658,611,6269,378,165,86.9,88.3
150360,201512,14638,10958,2081,13039,1599,651,68.95,70.53
150370,201512,7634,6398,758,7156,478,118,77.58,77.68
150375,201512,2447,2250,143,2393,54,28,85.41,86.07
150380,201512,7881,6498,655,7153,728,128,79.31,81.74
150390,201512,5659,4579,796,5375,284,34,71.93,73.33
150400,201512,5008,4343,484,4827,181,83,86.44,87.25
150405,201512,6761,5241,842,6083,678,85,82.13,83.21
150410,201512,1275,888,295,1183,92,62,82.31,81.86
150420,201512,24205,11725,8058,19783,4422,241,65.62,64.17
150430,201512,6321,5345,704,6049,272,37,88.52,89.13
150440,201512,4456,3903,406,4309,147,98,82.82,83.7
150442,201512,16279,11440,2953,14393,1886,81,77.26,77.26
150445,201512,3968,3221,511,3732,236,151,77.07,78.25
150450,201512,3706,3360,278,3638,68,74,85.35,86.99
150460,201512,5020,4489,393,4882,138,1196,76.73,81.13
150470,201512,13697,13068,324,13392,305,89,79.35,80.81
150475,201512,2768,2356,231,2587,181,69,94.92,96.35
150480,201512,10940,9181,1069,10250,690,137,79.84,80.84
150490,201512,5938,5395,425,5820,118,46,86.95,87.25
150495,201512,4262,4030,159,4189,73,316,87.65,88.43
150497,201512,1956,1370,415,1785,171,21,69.93,71.03
150500,201512,2613,2157,291,2448,165,26,83.19,84.03
150503,201512,2680,2121,251,2372,308,252,70.01,72.44
150506,201512,7939,6245,1074,7319,620,120,68.6,70.15
150510,201512,7439,5701,1199,6900,539,656,77.52,78.5
150520,201512,5961,5757,153,5910,51,14,89.77,90.64
150530,201512,10191,8216,1116,9332,859,12,83.5,85.33
150540,201512,3641,2978,326,3304,337,125,78.62,79.9
150543,201512,4758,3461,761,4222,536,294,84.27,84.74
150548,201512,7234,6643,268,6911,323,3694,78.61,80.39
150549,201512,1610,1421,84,1505,105,396,77.4,78.96
150550,201512,13933,8669,3812,12481,1452,193,69.4,71.77
150553,201512,16982,8531,5177,13708,3274,204,73.03,71.85
150555,201512,1445,1054,193,1247,198,556,85.75,86.65
150560,201512,1511,1152,267,1419,92,108,77.21,77.75
150563,201512,1943,1469,363,1832,111,203,67.41,69.02
150565,201512,3346,2769,323,3092,254,55,88.4,89.85
150570,201512,4859,4211,534,4745,114,104,86.42,86.66
150580,201512,7602,7071,397,7468,134,179,80.19,80.88
150590,201512,4061,3773,187,3960,101,163,71.48,72.31
150600,201512,6562,5977,361,6338,224,938,83.76,84.32
150610,201512,1852,1532,223,1755,97,261,78.04,81.06
150611,201512,1934,1687,153,1840,94,143,71.39,72.78
150613,201512,8219,4877,1937,6814,1405,131,67.31,67.09
150616,201512,2220,904,817,1721,499,66,72.17,72.86
150618,201512,5103,3702,953,4655,448,49,79.49,79.8
150619,201512,4257,3414,567,3981,276,288,81.56,82.52
150620,201512,4799,4035,396,4431,368,30,75.53,76.51
150630,201512,4700,4120,355,4475,225,2308,81.91,82.53
150635,201512,2763,1715,766,2481,282,60,67.98,68.34
150640,201512,1677,1512,110,1622,55,776,94.63,95.02
150650,201512,8918,5845,2213,8058,860,143,71.49,73.42
150655,201512,3594,2942,465,3407,187,35,72.97,73.42
150658,201512,3593,2605,550,3155,438,22,81.38,81.71
150660,201512,4690,3471,914,4385,305,208,84.71,87.55
150670,201512,5267,4113,411,4524,743,172,74.93,77.06
150680,201512,42199,26359,10613,36972,5227,1600,75.53,75.54
150690,201512,1723,1347,245,1592,131,232,84.41,86.85
150700,201512,5280,4214,742,4956,324,746,85.02,87.7
150710,201512,3600,2863,487,3350,250,269,84.58,88.15
150715,201512,3238,2537,408,2945,293,73,64.79,68.06
150720,201512,5111,4302,584,4886,225,271,79.12,80.6
150730,201512,7424,6141,736,6877,547,676,75.67,75.22
150740,201512,2753,1990,572,2562,191,34,74.22,77.49
150745,201512,3948,3096,532,3628,320,324,73.84,75.37
150746,201512,1029,818,165,983,46,194,73.39,74.35
150747,201512,4510,3617,485,4102,408,207,83.98,87.22
150750,201512,2885,2383,318,2701,184,1237,89.95,90.72
150760,201512,8468,6718,1238,7956,512,398,76.57,77.38
150770,201512,4212,3804,192,3996,216,2009,72.99,73.78
150775,201512,680,441,157,598,82,103,59.44,60.28
150780,201512,2612,2412,119,2531,81,1586,80.46,80.34
150790,201512,3666,2986,418,3404,262,504,73.88,74.16
150795,201512,11852,8936,1919,10855,997,311,77.24,79.42
150796,201512,2378,1927,228,2155,223,15,79.45,79.43
150797,201512,3108,2579,323,2902,206,37,85.08,86.29
150800,201512,10173,8445,1070,9515,658,611,73.85,75.4
150803,201512,3852,3044,587,3631,221,45,59.17,59.56
150805,201512,1952,1558,265,1823,129,58,74.5,74.77
150808,201512,4042,1863,1499,3362,680,22,69.97,71.12
150810,201512,13520,9855,2025,11880,1640,210,70.55,73.98
150812,201512,3598,2723,642,3365,233,1273,68.33,69.87
150815,201512,6130,5142,521,5663,467,34,72.33,74.75
150820,201512,9611,8005,857,8862,749,589,84.53,88.03
150830,201512,9675,8240,806,9046,629,2712,74.48,75.67
150835,201512,1681,1197,390,1587,94,105,79.44,81.59
150840,201512,5559,3470,1255,4725,834,588,80.37,83.34
160005,201512,618,543,49,592,26,322,83.51,85.05
160010,201512,636,634,2,636,0,351,46.62,46.76
160015,201512,1526,1457,46,1503,23,228,90.45,91.14
160020,201512,1493,1310,140,1450,43,33,73.58,77.12
160021,201512,829,718,92,810,19,36,87.35,88.62
160023,201512,838,784,49,833,5,238,81.43,82.06
160025,201512,1161,1139,14,1153,8,1006,90.49,90.93
160027,201512,6477,5416,748,6164,313,143,79.22,81.89
160030,201512,35753,25949,6467,32416,3337,1102,78.51,80.32
160040,201512,3954,3700,174,3874,80,77,91.99,92.37
160050,201512,2513,1905,406,2311,202,15,78.5,80.94
160053,201512,2427,2105,270,2375,52,60,87.2,87.57
160055,201512,449,424,24,448,1,302,71.04,72.02
160060,201512,11933,10639,1198,11837,96,283,76.43,80.95
160070,201512,2156,1861,166,2027,129,1279,85.69,85.38
160080,201512,2192,2089,68,2157,35,1859,84.17,84.02
170025,201512,374,290,64,354,20,40,71.1,73.9
170030,201512,860,506,262,768,92,18,73.31,75.36
170035,201512,1051,606,304,910,141,27,68.73,75.39
170040,201512,1567,1111,328,1439,128,333,82.82,86.16
170070,201512,1125,707,220,927,198,153,61.81,65.18
170100,201512,1530,1286,135,1421,109,177,62.22,66.68
170105,201512,557,327,128,455,102,48,72.81,76.34
170110,201512,612,365,188,553,59,38,58.28,62.55
170130,201512,1077,642,260,902,175,36,78.72,79.05
170190,201512,1167,543,363,906,261,7,73.07,76.52
170200,201512,1275,428,395,823,452,20,77.22,78.3
170210,201512,23078,10714,7819,18533,4545,230,72.04,73.18
170215,201512,960,674,163,837,123,63,80.74,83.53
170220,201512,4254,2960,986,3946,308,115,74.39,75.23
170230,201512,1073,597,306,903,170,182,74.35,76.13
170240,201512,1994,1438,295,1733,261,39,74.15,77.53
170255,201512,2737,1745,623,2368,369,11,80.54,83.97
170270,201512,746,414,118,532,214,2,72.14,75.24
170290,201512,2215,1909,111,2020,195,612,77.99,78.69
170300,201512,1351,895,242,1137,214,67,69.06,70.35
170305,201512,514,316,119,435,79,10,65.98,70.84
170307,201512,808,504,200,704,104,84,74.33,78.22
170310,201512,1146,673,240,913,233,18,70.04,74.89
170320,201512,862,342,268,610,252,17,75.34,75.03
170330,201512,548,461,55,516,32,269,71.35,73.92
170360,201512,353,194,89,283,70,6,75.75,73.89
170370,201512,1184,694,258,952,232,11,84.93,87.41
170380,201512,1181,730,292,1022,159,1,65.39,70.82
170382,201512,394,288,65,353,41,4,70.73,74.94
170384,201512,1031,707,241,948,83,22,65.79,66.1
170386,201512,633,405,170,575,58,81,68.58,72.87
170388,201512,387,209,111,320,67,31,59.9,61.89
170389,201512,772,593,106,699,73,46,83.73,84.21
170390,201512,901,673,107,780,121,372,70.0,70.46
170410,201512,446,284,88,372,74,130,81.23,80.69
170460,201512,235,113,72,185,50,16,46.81,54.73
170510,201512,677,345,194,539,138,133,85.26,84.61
170550,201512,5330,1801,2172,3973,1357,21,77.82,79.33
170555,201512,1010,575,260,835,175,13,74.37,78.84
170560,201512,797,513,143,656,141,11,77.37,81.69
170600,201512,1085,854,114,968,117,44,80.54,81.07
170610,201512,1156,778,224,1002,154,156,72.43,79.27
170625,201512,263,113,98,211,52,2,60.45,64.32
170650,201512,857,478,264,742,115,49,68.5,70.06
170700,201512,2757,1476,832,2308,449,44,66.93,69.53
170710,201512,1424,874,281,1155,269,72,77.64,79.05
170720,201512,1453,1139,168,1307,146,20,78.03,83.67
170730,201512,693,435,163,598,95,4,68.14,72.66
170740,201512,1699,1289,267,1556,143,97,76.56,81.38
170755,201512,583,289,189,478,105,30,72.24,73.65
170765,201512,804,489,171,660,144,7,58.94,63.33
170770,201512,1361,1014,252,1266,95,72,77.9,80.02
170820,201512,2415,1719,544,2263,152,38,65.8,69.33
170825,201512,460,264,134,398,62,59,62.75,68.26
170830,201512,1253,1010,84,1094,159,28,89.18,90.26
170900,201512,1788,1514,175,1689,99,170,69.46,69.5
170930,201512,2895,1745,793,2538,357,63,76.95,78.62
170950,201512,9115,3435,3405,6840,2275,113,64.99,67.29
170980,201512,374,203,107,310,64,16,73.76,81.36
171050,201512,1294,1022,161,1183,111,19,87.37,89.35
171070,201512,1126,846,217,1063,63,59,73.69,76.58
171090,201512,772,601,104,705,67,3,73.94,81.69
171110,201512,475,253,117,370,105,8,77.99,81.49
171150,201512,454,308,55,363,91,26,53.09,59.21
171180,201512,554,252,129,381,173,2,79.02,78.88
171190,201512,1023,709,244,953,70,44,61.22,65.14
171195,201512,666,448,143,591,75,18,81.21,83.59
171200,201512,442,245,120,365,77,12,64.43,66.6
171215,201512,345,173,97,270,75,26,74.83,76.27
171240,201512,604,445,120,565,39,4,83.19,84.7
171245,201512,433,209,159,368,65,4,67.65,71.59
171250,201512,736,399,183,582,154,36,67.46,67.28
171270,201512,243,169,61,230,13,7,58.27,59.12
171280,201512,715,429,174,603,112,32,80.97,82.71
171320,201512,2859,1744,695,2439,420,31,73.49,74.04
171330,201512,2182,1292,537,1829,353,183,74.64,77.33
171360,201512,981,779,127,906,75,11,67.6,71.11
171370,201512,476,326,100,426,50,16,70.93,74.08
171380,201512,849,531,223,754,95,4,63.35,67.44
171395,201512,731,396,171,567,164,76,80.86,81.23
171420,201512,1421,739,410,1149,272,52,62.4,67.27
171430,201512,785,500,176,676,109,37,74.26,77.52
171488,201512,2082,1442,402,1844,238,33,83.34,85.56
171500,201512,595,460,71,531,64,36,74.18,76.51
171510,201512,655,516,88,604,51,321,72.29,74.75
171515,201512,312,181,83,264,48,35,62.4,67.34
171525,201512,435,304,91,395,40,3,68.39,74.24
171550,201512,216,110,62,172,44,0,68.57,71.07
171570,201512,1005,767,128,895,110,99,80.4,82.26
171575,201512,1425,694,381,1075,350,96,74.37,74.39
171610,201512,3514,1685,1208,2893,621,197,64.85,64.43
171620,201512,2090,1737,170,1907,183,431,81.29,85.17
171630,201512,627,432,115,547,80,11,68.15,72.54
171650,201512,1425,670,412,1082,343,25,64.21,63.23
171660,201512,1836,1146,337,1483,353,9,74.12,78.21
171665,201512,1136,742,222,964,172,14,75.58,80.0
171670,201512,1333,764,370,1134,199,70,67.35,69.48
171700,201512,873,619,134,753,120,74,79.0,79.51
171720,201512,493,324,106,430,63,9,68.75,72.63
171750,201512,898,394,283,677,221,8,73.97,71.79
171780,201512,830,473,184,657,173,42,71.79,74.82
171790,201512,1017,821,127,948,69,35,68.25,73.83
171800,201512,446,324,79,403,43,177,66.96,68.42
171820,201512,7180,4326,1704,6030,1150,278,70.41,70.78
171830,201512,1028,709,247,956,72,7,72.59,75.45
171840,201512,591,485,45,530,61,8,74.52,78.51
171845,201512,462,263,110,373,89,52,62.01,65.32
171850,201512,677,532,105,637,40,131,70.66,75.56
171855,201512,668,512,93,605,63,21,58.59,58.79
171865,201512,310,196,76,272,38,20,66.23,68.34
171870,201512,543,290,162,452,91,20,73.47,77.26
171875,201512,975,706,167,873,102,22,73.69,79.43
171880,201512,449,395,38,433,16,57,54.82,54.32
171884,201512,714,317,241,558,156,13,73.91,80.98
171886,201512,919,381,343,724,195,8,63.51,63.28
171888,201512,577,301,146,447,130,33,81.96,82.62
171889,201512,377,250,87,337,40,13,75.09,74.72
171890,201512,978,635,200,835,143,136,80.89,83.16
171900,201512,429,275,100,375,54,4,87.55,87.2
172000,201512,414,263,102,365,49,69,73.53,75.41
172010,201512,857,673,125,798,59,21,71.53,72.15
172015,201512,250,175,38,213,37,1,74.85,76.89
172020,201512,1789,1439,267,1706,83,44,78.63,81.19
172025,201512,572,297,140,437,135,26,79.77,82.6
172030,201512,936,722,131,853,83,206,81.17,83.87
172049,201512,1075,697,69,766,309,46,80.52,77.37
172065,201512,1022,863,25,888,134,9,77.77,80.72
172080,201512,1676,1140,344,1484,192,147,66.71,70.36
172085,201512,358,120,147,267,91,6,67.67,71.58
172090,201512,2919,2158,296,2454,465,36,84.97,87.64
172093,201512,379,268,60,328,51,36,62.95,70.08
172097,201512,441,244,124,368,73,12,66.11,69.43
172100,201512,24644,9980,8263,18243,6401,964,74.71,72.92
172110,201512,1268,967,191,1158,110,19,75.56,77.82
172120,201512,3798,2695,622,3317,481,495,72.68,77.42
172125,201512,152,87,40,127,25,8,56.5,56.69
172130,201512,388,252,61,313,75,83,69.53,70.65
172208,201512,1650,1148,351,1499,151,124,76.81,78.11
172210,201512,2013,1327,462,1789,224,103,79.59,80.76
210005,201512,15598,9200,4278,13478,2120,79,71.49,73.8
210010,201512,1102,837,161,998,104,25,70.14,71.13
210015,201512,2828,2437,188,2625,203,221,85.23,88.65
210020,201512,5150,4689,239,4928,222,197,73.45,74.97
210030,201512,4336,3886,310,4196,140,25,78.47,81.36
210040,201512,1470,1318,77,1395,75,220,78.06,80.58
210043,201512,4661,3332,689,4021,640,681,70.86,70.92
210047,201512,4833,3973,577,4550,283,344,73.96,76.43
210050,201512,1635,1038,399,1437,198,5,69.75,75.0
210055,201512,1168,949,152,1101,67,10,67.71,70.12
210060,201512,5678,4557,851,5408,270,289,78.22,80.74
210070,201512,4524,3940,295,4235,289,584,64.61,65.58
210080,201512,2901,2734,104,2838,63,2318,79.28,79.74
210083,201512,3229,2896,60,2956,273,731,74.76,74.4
210087,201512,2158,1791,201,1992,166,320,74.8,76.03
210090,201512,7230,6415,518,6933,297,1087,73.05,74.01
210095,201512,4321,3710,426,4136,185,65,72.57,72.38
210100,201512,5654,4757,625,5382,272,21,78.64,81.53
210110,201512,2052,1889,99,1988,64,499,71.72,72.05
210120,201512,17448,14070,2015,16085,1363,1486,67.06,72.18
210125,201512,3089,2855,152,3007,82,233,87.45,88.88
210130,201512,2878,2398,267,2665,213,297,70.1,70.02
210135,201512,957,790,97,887,70,218,57.03,60.54
210140,201512,12506,9127,1972,11099,1407,202,73.2,75.4
210150,201512,3632,3336,100,3436,196,9,79.56,84.11
