nome_antigo,nome_novo,dimensao,motivo,data,acao,versao_remocao
extensao_rede_agua,snis_extensao_rede_agua_km,03_meio_ambiente,Sem unidade no nome (km) e sem prefixo de fonte,,renomear,dados-v2.0.0
extensao_rede_esgoto,snis_extensao_rede_esgoto_km,03_meio_ambiente,Sem unidade no nome (km) e sem prefixo de fonte,,renomear,dados-v2.0.0
quantidade_sede_municipal_agua,snis_sedes_municipais_atendidas_agua_i,03_meio_ambiente,Prefixo quantidade_ generico compartilhado com a dim 14; character apesar de contagem,,renomear,dados-v2.0.0
quantidade_sede_municipal_esgoto,snis_sedes_municipais_atendidas_esgoto_i,03_meio_ambiente,Idem; prefixo generico e tipo character,,renomear,dados-v2.0.0
quantidade_ligacao_total_agua,snis_ligacoes_agua_i,03_meio_ambiente,Prefixo generico; 'total' redundante; tipo character,,renomear,dados-v2.0.0
quantidade_ligacao_total_esgoto,snis_ligacoes_esgoto_i,03_meio_ambiente,Prefixo generico; 'total' redundante; tipo character,,renomear,dados-v2.0.0
quantidade_empregado,snis_empregados_prestador_i,03_meio_ambiente,"Singular, sem fonte; sao empregados do PRESTADOR de saneamento, nao do municipio",,renomear,dados-v2.0.0
despesa_pessoal,snis_despesa_pessoal_prestador_brl2023,03_meio_ambiente,"Generico, sem fonte; e despesa de pessoal do prestador de saneamento e esta deflacionada (saneamento.R:186-190) sem marca no nome",,renomear,dados-v2.0.0
arrecadacao_total,snis_arrecadacao_prestador_brl2023,03_meio_ambiente,"Generico, sem fonte; colide conceitualmente com as receitas do SICONFI (dim 6); deflacionada sem marca",,renomear,dados-v2.0.0
investimento_agua_municipio,snis_investimento_agua_fonte_municipio_brl2023,03_meio_ambiente,"Deflacionado (saneamento.R:186-190) sem sufixo; 'municipio' aqui e a FONTE do investimento, nao a unidade geografica",,renomear,dados-v2.0.0
investimento_agua_estado,snis_investimento_agua_fonte_estado_brl2023,03_meio_ambiente,Idem: sufixo designa a fonte do recurso e se confunde com recorte geografico,,renomear,dados-v2.0.0
investimento_agua_prestador,snis_investimento_agua_fonte_prestador_brl2023,03_meio_ambiente,Idem,,renomear,dados-v2.0.0
investimento_esgoto_municipio,snis_investimento_esgoto_fonte_municipio_brl2023,03_meio_ambiente,Idem,,renomear,dados-v2.0.0
investimento_esgoto_estado,snis_investimento_esgoto_fonte_estado_brl2023,03_meio_ambiente,Idem,,renomear,dados-v2.0.0
investimento_esgoto_prestador,snis_investimento_esgoto_fonte_prestador_brl2023,03_meio_ambiente,Idem,,renomear,dados-v2.0.0
indice_atendimento_total_agua,snis_indice_atendimento_total_agua_pct,03_meio_ambiente,Sem prefixo de fonte e sem escala (percentual),,renomear,dados-v2.0.0
indice_atendimento_esgoto_agua,snis_indice_atendimento_esgoto_sobre_populacao_agua_pct,03_meio_ambiente,Nome ilegivel: e o indice de atendimento de esgoto referido a populacao atendida com AGUA. Sem escala,,renomear,dados-v2.0.0
area_total_municipio,area_municipio_km2,03_meio_ambiente,Sem unidade (km2); 'total' redundante,,renomear,dados-v2.0.0
desmatado_total_municipio,area_desmatada_municipio_km2,03_meio_ambiente,"Particulo usado como substantivo, sem unidade (km2) e sem fonte (MapBiomas/PRODES)",,renomear,dados-v2.0.0
desmatado_total_amazonia,area_desmatada_bioma_amazonia_km2,03_meio_ambiente,"Idem; e a parcela desmatada do bioma dentro do municipio, nao o desmatamento do bioma",,renomear,dados-v2.0.0
desmatado_total_caatinga,area_desmatada_bioma_caatinga_km2,03_meio_ambiente,"Idem (mesma familia: cerrado, mata_atlantica, pampa, pantanal)",,renomear,dados-v2.0.0
proporcao_desmatado,area_desmatada_sobre_area_municipio_prop,03_meio_ambiente,Escala 0-1 sem sufixo; denominador (area_total_municipio) so visivel no codigo (desmatamento.R:67),,renomear,dados-v2.0.0
lag_total_desmatado,area_desmatada_municipio_km2_lag1,03_meio_ambiente,Nome de OPERACAO (lag) em vez de conceito; ordem do lag nao explicita (desmatamento.R:75),,renomear,dados-v2.0.0
taxa_crescimento_desmatamento_abs,variacao_absoluta_area_desmatada_km2,03_meio_ambiente,Contradicao interna: 'taxa' e 'abs' (absoluto) no mesmo nome; sem unidade,,renomear,dados-v2.0.0
id,adapta_id_indicador,03_meio_ambiente,"Nome maximamente generico (id interno do indicador AdaptaBrasil) que sobrevive ate a base publicada, posicao 97 de renomear_variaveis.R:44",,renomear,dados-v2.0.0
cidades_resilientes,adapta_indice_adesao_programa_cidades_resilientes,03_meio_ambiente,Nome plural que parece uma lista/contagem de cidades; e o indicador de adesao do municipio ao programa (AB6.1),,renomear,dados-v2.0.0
pib,pib_brl2023,04_economia,Sem unidade nem indicacao de deflacao no nome (pib_municipal.R:76 deflaciona para 12/2023); integer64 na origem,,renomear,dados-v2.0.0
impostos_liquidos,impostos_liquidos_brl2023,04_economia,Sem unidade nem deflacao no nome,,renomear,dados-v2.0.0
va,valor_adicionado_bruto_brl2023,04_economia,"Nome de duas letras, maximamente generico (valor adicionado bruto). PUBLICADO",,renomear,dados-v2.0.0
va_agropecuaria,valor_adicionado_agropecuaria_brl2023,04_economia,Prefixo va_ nao expandido; sem unidade nem deflacao no nome,,renomear,dados-v2.0.0
va_industria,valor_adicionado_industria_brl2023,04_economia,Idem,,renomear,dados-v2.0.0
va_servicos,valor_adicionado_servicos_brl2023,04_economia,Idem,,renomear,dados-v2.0.0
va_adespss,valor_adicionado_administracao_publica_brl2023,04_economia,"Sigla opaca (administracao, defesa, educacao e saude publicas e seguridade social). PUBLICADO",,renomear,dados-v2.0.0
pib_per_capita,pib_per_capita_brl2023,04_economia,"Sem unidade; renomeado para explicitar a base do deflator. CORRECAO DE 26/07/2026 (achado 62): a versao anterior deste motivo afirmava que o indicador ficara 'nao reproduzivel' porque o denominador foi removido da base. E FALSO, e foi medido: pib_brl2023 / populacao_residente_i (de 02_populacao) reproduz a coluna em 127.786 de 127.786 linhas, com desvio maximo de 7,3e-12. O denominador nao esta DENTRO de 04_economia por decisao de dono unico, e isso e diferente de nao ser reproduzivel",,renomear,dados-v2.0.0
impostos_pib,razao_impostos_sobre_pib_prop,04_economia,"E uma razao, mas o nome parece uma justaposicao de dois indicadores",,renomear,dados-v2.0.0
dependencia_adm,participacao_va_administracao_publica_prop,04_economia,'dependencia' sem denominador explicito (participacao do VA da administracao publica no VA total); 'adm' abreviado enquanto as irmas nao sao,,renomear,dados-v2.0.0
dependencia_industria,participacao_va_industria_prop,04_economia,'dependencia' sem denominador explicito,,renomear,dados-v2.0.0
dependencia_agro,participacao_va_agropecuaria_prop,04_economia,Idem; 'agro' abreviado enquanto va_agropecuaria nao e,,renomear,dados-v2.0.0
dependencia_servicos,participacao_va_servicos_prop,04_economia,'dependencia' sem denominador explicito,,renomear,dados-v2.0.0
log_pib,ln_pib_brl2023,04_economia,Transformacao no nome sem dizer a base (e logaritmo natural),,renomear,dados-v2.0.0
log_pib_per_capita,ln_pib_per_capita_brl2023,04_economia,Idem; e uma das colunas consumidas por scripts/artigo,,renomear,dados-v2.0.0
log_valor_adicionado,ln_valor_adicionado_bruto_brl2023,04_economia,"Idem; e o log de va, cujo nome curto ja e ambiguo",,renomear,dados-v2.0.0
ano_avs,ano_ref_ivs,05_sociedade,Sigla opaca (AVS = Atlas da Vulnerabilidade Social); e o ano censitario 2000/2010 replicado sobre 1996-2015 em sociedade.R,,renomear,dados-v2.0.0
proporcao_vulnerabilidade_socioeconomica,vulnerabilidade_socioeconomica_pct,05_sociedade,Prefixo proporcao_ sem sufixo de escala; escala real 0-100,,renomear,dados-v2.0.0
prosperidade_social,classe_prosperidade_social,05_sociedade,"Nome sugere indice numerico, mas o tipo e character (classe categorica)",,renomear,dados-v2.0.0
total_receitas_fundeb,siconfi_deducao_fundeb_brl2023,06_financas,"O NOME MENTE: e a DEDUCAO do FUNDEB, nao uma receita (siconfi.R:94, sum(valor[deducao_fundeb == 1])). Esta entre as colunas consumidas por scripts/artigo",,renomear,dados-v2.0.0
total_transferencias_constitucionais,siconfi_deducao_transferencias_constitucionais_brl2023,06_financas,"Tambem e uma DEDUCAO (siconfi.R:95, estagio == 'Deducoes - Transferencias Constitucionais'), nao a transferencia recebida",,renomear,dados-v2.0.0
total_receitas_outras_deducoes,siconfi_deducao_outras_brl2023,06_financas,Nome hibrido 'receitas' + 'deducoes'; e so deducao (siconfi.R:96),,renomear,dados-v2.0.0
total_receitas_brutas,siconfi_receitas_brutas_brl2023,06_financas,Sem prefixo de fonte nem marca de deflacao (deflacionada em siconfi.R:119-122),,renomear,dados-v2.0.0
total_receitas_realizadas,siconfi_receitas_realizadas_brl2023,06_financas,Idem,,renomear,dados-v2.0.0
total_receitas_proprias,siconfi_receitas_proprias_brl2023,06_financas,Idem; a regra de 'receita propria' esta so no case_when de siconfi.R:59,,renomear,dados-v2.0.0
total_receitas_proprias_realizadas,siconfi_receitas_proprias_realizadas_brl_nominal,06_financas,"UNICA coluna monetaria de financas que NAO entra no across de deflacao (siconfi.R:119-122): fica em reais nominais entre irmas deflacionadas para 12/2023, com nome indistinguivel",,renomear,dados-v2.0.0
razao_receitas_proprias,siconfi_receitas_proprias_sobre_receitas_brutas_prop,06_financas,"Escala 0-1 sem sufixo; denominador e total_receitas, que tem dupla contagem",,renomear,dados-v2.0.0
razao_receitas_proprias_realizadas,siconfi_receitas_proprias_realizadas_sobre_realizadas_prop,06_financas,"Idem, escala 0-1 sem sufixo",,renomear,dados-v2.0.0
localidade_gasto,emendas_localidade_gasto_texto,06_financas,PUBLICADO e generico; e o texto livre 'Municipio - UF' da CGU usado como chave de pareamento (Emendas/script.R:40),,renomear,dados-v2.0.0
estatutarios_direta,munic_vinculos_estatutarios_adm_direta_i,07_recursos_humanos,"Sem prefixo de fonte, sem sufixo de contagem; 'direta' = administracao direta, colide com qualquer outro uso de direta/indireta",,renomear,dados-v2.0.0
clt_direta,munic_vinculos_clt_adm_direta_i,07_recursos_humanos,"Idem (mesma familia: comissionados_direta, estagiarios_direta, sem_vinculo_permanente_direta e os seis analogos _indireta)",,renomear,dados-v2.0.0
total_funcionarios_direta,munic_vinculos_totais_adm_direta_i,07_recursos_humanos,'total' sem qualificar que e ESTOQUE de vinculos ativos no ano de referencia da pesquisa Munic,,renomear,dados-v2.0.0
comiss_direta,munic_comissionados_adm_direta_prop,07_recursos_humanos,"Abreviacao opaca; e uma PROPORCAO 0-1 (comissionados/total) convivendo com contagens na mesma tabela, sem sufixo de escala",,renomear,dados-v2.0.0
administracao_indireta,munic_existe_administracao_indireta_cat,07_recursos_humanos,"Nome sugere booleano; e character com 6 rotulos ('Sim','Nao','Recusa','Nao informou','Nao informado') e, so em 2011, uma CONTAGEM numerica - dois conceitos incompativeis no mesmo nome",,renomear,dados-v2.0.0
total_funcionarios_indireta,munic_vinculos_totais_adm_indireta_i,07_recursos_humanos,Idem,,renomear,dados-v2.0.0
comiss_indireta,munic_comissionados_adm_indireta_prop,07_recursos_humanos,Idem,,renomear,dados-v2.0.0
total_violacoes,disque100_denuncias_violacoes_i,01_assistencia_social_dh,Generico: nao identifica a fonte (Disque 100) nem o recorte (denuncias de violacao de direitos humanos); colide com contagens de violencia das dims 11 e 14. Alem disso e redundante por construcao (som,,renomear,dados-v2.0.0
total_violacoes_crianca_adolescente,disque100_denuncias_crianca_adolescente_i,01_assistencia_social_dh,"Prefixo total_ generico, sem fonte (mesma familia: _lgbtq, _pcd, _pessoa_idosa, _religiao)",,renomear,dados-v2.0.0
media_densidade_banda_larga_anual,anatel_bl_densidade_media_anual_por_100_dom,08_energia_internet,Sem unidade no nome (acessos por 100 domicilios),,renomear,dados-v2.0.0
media_densidade_banda_larga_anual_capital,anatel_bl_densidade_media_anual_capital_uf,08_energia_internet,O sufixo _capital designa a CAPITAL DA UF mas le-se como per capita,,renomear,dados-v2.0.0
prop_densidade_banda_larga_rel_capital,anatel_bl_densidade_sobre_capital_uf_prop,08_energia_internet,Escala inconsistente: percentual no intermediario (bandalarga.R:79) e razao pura na dimensao (energia_internet.R:17),,renomear,dados-v2.0.0
media_densidade_telefonia_movel_anual,anatel_tm_densidade_media_anual_por_100_dom,08_energia_internet,Sem unidade no nome,,renomear,dados-v2.0.0
media_densidade_telefonia_movel_anual_capital,anatel_tm_densidade_media_anual_capital_uf,08_energia_internet,"Idem: _capital = capital da UF, nao per capita",,renomear,dados-v2.0.0
prop_densidade_telefonia_movel_rel_capital,anatel_tm_densidade_sobre_capital_uf_prop,08_energia_internet,Mesma inconsistencia de escala (telefonia.R:74 vs energia_internet.R:29),,renomear,dados-v2.0.0
domicilios_atendidos_lpt_ano,lpt_domicilios_atendidos_i,08_energia_internet,Sufixo '_ano' ambiguo (e o fluxo do ano) num painel cuja chave ja e ano,,renomear,dados-v2.0.0
domicilios_atendidos_lpt_2004_2020,lpt_domicilios_atendidos_acumulado_i,08_energia_internet,Faixa de anos embutida no nome da coluna,,renomear,dados-v2.0.0
media_ideb,ideb_nota_media_municipio,09_educacao,"Media NAO PONDERADA de todas as linhas do municipio, incluindo as tres redes; convive com media_ideb_rede_* sem hierarquia explicita no nome",,renomear,dados-v2.0.0
media_saeb,ideb_nota_saeb_padronizada_media,09_educacao,"Atribui a fonte SAEB a um dado que vem da coluna nota_saeb_media_padronizada da tabela do IDEB (mesma familia: _fundamental, _medio, _anos_finais, _anos_iniciais, _rede_*)",,renomear,dados-v2.0.0
media_projecao,ideb_meta_projetada_media,09_educacao,"'projecao' de que indicador nao esta no nome: e a META do IDEB (mesma familia: _fundamental, _medio, _anos_finais, _anos_iniciais, _rede_*)",,renomear,dados-v2.0.0
media_ideb_anos_finais,ideb_nota_media_ef_anos_finais,09_educacao,"'anos' aqui significa SERIES escolares, no meio de uma base cuja chave temporal tambem se chama ano",,renomear,dados-v2.0.0
media_ideb_anos_iniciais,ideb_nota_media_ef_anos_iniciais,09_educacao,Idem; e um recorte que se SOBREPOE a media_ideb_fundamental sem prefixo que indique o eixo de corte,,renomear,dados-v2.0.0
ano_ideb,ano_ref_ideb,09_educacao,"Ano da EDICAO da avaliacao (impares 2005-2023, numeric) convivendo com ano do painel (character); nada no nome indica que e a chave que distingue medicao de valor replicado",,renomear,dados-v2.0.0
total_institucoes,censup_instituicoes_ensino_superior_i,09_educacao,"ERRO DE DIGITACAO publicado (falta o 'i' de instituicoes) enquanto as nove colunas irmas escrevem certo; origem censo_educacao_superior.R:53, congelado em renomear_variaveis.R:93",,renomear,dados-v2.0.0
total_instituicoes_federais,censup_ies_federais_i,09_educacao,"'instituicoes' de que nao esta no nome (sao IES do Censo da Educacao Superior); prefixo total_ generico. Mesma familia: _estaduais, _municipais, _especial, _privada_com_fins_lucrativos, _privada_sem_f",,renomear,dados-v2.0.0
cobertura_total,pni_cobertura_vacinal_agregada_pct,10_saude,"'total' de que: e a cobertura vacinal agregada do SI-PNI, mas o nome sugere cobertura de servico de saude",,renomear,dados-v2.0.0
cobertura_haemophilus_influenza_b,pni_cobertura_haemophilus_influenzae_b_pct,10_saude,"Grafia incorreta do agente (o correto e Haemophilus influenzae tipo b); Imunizacoes/imunizacoes.R:31, congelado em renomear_variaveis.R:99",,renomear,dados-v2.0.0
cobertura_poliomielite_4anos,pni_cobertura_poliomielite_reforco_4a_pct,10_saude,Idade embutida no meio do nome sem separador semantico,,renomear,dados-v2.0.0
cobertura_triplice_viral_d1,pni_cobertura_triplice_viral_dose1_pct,10_saude,"Sufixos d1/d2 nao explicados (1a e 2a dose), enquanto o par do IEPS usa 'tvd1'",,renomear,dados-v2.0.0
proporcao_cobertura_estrategia_saude_familia,cobertura_esf_pct,10_saude,"Prefixo 'proporcao' com escala 0-100 (mediana 99,52, max 100); e uma das colunas consumidas por scripts/artigo",,renomear,dados-v2.0.0
proporcao_cobertura_total_atencao_basica,cobertura_atencao_basica_pct,10_saude,Mesma inconsistencia: 'proporcao' com escala 0-100 (mediana 100),,renomear,dados-v2.0.0
cob_ab,ieps_cobertura_atencao_basica_pct,10_saude,"Abreviacao criptica sem prefixo de fonte (IEPS); redundante com proporcao_cobertura_total_atencao_basica (correlacao 0,916). E uma das colunas consumidas por scripts/artigo",,renomear,dados-v2.0.0
cob_acs,ieps_cobertura_acs_pct,10_saude,Abreviacao criptica (agentes comunitarios de saude) sem prefixo de fonte,,renomear,dados-v2.0.0
cob_esf,ieps_cobertura_esf_pct,10_saude,"Abreviacao criptica; redundante com proporcao_cobertura_estrategia_saude_familia (correlacao 0,940)",,renomear,dados-v2.0.0
cob_vac_hepb,ieps_cobertura_hepatite_b_ate_30d_pct,10_saude,"O nome sugere hepatite B em geral, mas o codebook define 'cobertura em criancas ate 30 dias'; correlacao 0,061 com cobertura_hepatite_b",,renomear,dados-v2.0.0
tx_mort,ieps_taxa_mortalidade_p100k,10_saude,Prefixo tx_ sem unidade no nome (e por 100 mil hab.); compete com total_mortalidade da dim 14,,renomear,dados-v2.0.0
tx_mort_csap,ieps_taxa_mortalidade_csap_p100k,10_saude,Sigla CSAP (condicoes sensiveis a atencao primaria) nao expandida e sem unidade; e uma das colunas consumidas por scripts/artigo,,renomear,dados-v2.0.0
tx_mort_evit,ieps_taxa_mortalidade_evitavel_p100k,10_saude,Abreviacao 'evit' (evitavel) e sem unidade,,renomear,dados-v2.0.0
pct_mort_maldef,ieps_obitos_causas_mal_definidas_pct,10_saude,Abreviacao 'maldef' (causas mal definidas),,renomear,dados-v2.0.0
tx_mort_csap_aj_cens,ieps_taxa_mortalidade_csap_padronizada_censo_p100k,10_saude,'aj_cens' = padronizada pela estrutura etaria censitaria; sem unidade. E uma das colunas consumidas por scripts/artigo,,renomear,dados-v2.0.0
tx_hosp,ieps_taxa_hospitalizacao_p100k,10_saude,Sem unidade no nome; e uma das colunas consumidas por scripts/artigo,,renomear,dados-v2.0.0
tx_hosp_csap,ieps_taxa_hospitalizacao_csap_p100k,10_saude,Sigla CSAP nao expandida e sem unidade,,renomear,dados-v2.0.0
cob_priv,ieps_cobertura_plano_privado_pct,10_saude,Abreviacao criptica; e cobertura de PLANO PRIVADO e se confunde facilmente com cobertura publica,,renomear,dados-v2.0.0
pct_desp_recp_saude_mun,ieps_despesa_saude_sobre_receita_propria_pct,10_saude,"Tres abreviacoes empilhadas ('desp', 'recp' = receita propria, 'mun'); colide conceitualmente com a dimensao 6 (SICONFI)",,renomear,dados-v2.0.0
gasto_pbf_pc_def,gasto_bolsa_familia_per_capita_brl2023,10_saude,Conceitualmente pertence a assistencia social e nao a saude; '_def' esconde a base de deflacao; sigla PBF nao expandida. E uma das colunas consumidas por scripts/artigo,,renomear,dados-v2.0.0
ano_inicio,ano_inicio_tarifa_zero,11_transportes,'inicio' de que nao esta no nome; generico o bastante para colidir com qualquer marco temporal de politica. So 106 linhas nao-NA,,renomear,dados-v2.0.0
comprometimento_renda_domesticas_negras,comprometimento_tarifa_sobre_renda_domesticas_negras_prop,11_transportes,Sem escala no nome (fracao 0-1),,renomear,dados-v2.0.0
comprometimento_salario_minimo,comprometimento_tarifa_sobre_salario_minimo_prop,11_transportes,Sem 'renda' e sem escala no nome (fracao 0-1); denominador so no nome parcialmente,,renomear,dados-v2.0.0
tarifas,tarifa_onibus_urbano_brl2023,11_transportes,"Plural generico, sem unidade (R$), sem dizer que e passagem de onibus urbano e sem marca de deflacao - e o MESMO NOME em duas escalas (nominal x 12/2023)",,renomear,dados-v2.0.0
qtd_uh,mcmv_unidades_contratadas_i,12_habitacao,"Sigla 'uh' (unidades habitacionais) opaca, sem prefixo de fonte nem de programa (MCMV/FGTS)",,renomear,dados-v2.0.0
qtd_uh_entregues,mcmv_unidades_entregues_coorte_i,12_habitacao,Nao diz se sao entregues acumuladas ou no ano; na pratica e a soma dos contratos assinados no ano (entregues de coorte),,renomear,dados-v2.0.0
qtd_uh_vigentes,mcmv_unidades_vigentes_em_20240930_i,12_habitacao,'vigente' e um ESTOQUE medido na data_referencia (30/09/2024) imputado ao ano de assinatura - estoque tratado como fluxo,,renomear,dados-v2.0.0
qtd_uh_distratadas,mcmv_unidades_distratadas_em_20240930_i,12_habitacao,Mesmo problema de estoque-vs-fluxo,,renomear,dados-v2.0.0
val_contratado,mcmv_valor_contratado_brl2023,12_habitacao,"Nome generico de valor monetario, sem fonte, sem programa e sem sufixo _def apesar de deflacionado para 12/2023 (habitacao.R:60-61); convive com 22 colunas valor_emendas_* que sao outro universo",,renomear,dados-v2.0.0
val_desembolsado,mcmv_valor_desembolsado_brl2023,12_habitacao,Idem; e a coluna mais afetada pelo bug de escala 100x,,renomear,dados-v2.0.0
total_mortalidade,sim_obitos_totais_i,13_seguranca,Prefixo total_ generico; nao indica a fonte (SIM) nem a granularidade (ocorrencia x residencia),,renomear,dados-v2.0.0
total_mortalidade_homicidio,sim_obitos_homicidio_i,13_seguranca,"Sem fonte no nome; sugere equivalencia com quantidade_homicidio_doloso (FBSP), que tem definicao, cobertura e periodo diferentes",,renomear,dados-v2.0.0
total_mortalidade_alcool,sim_obitos_causa_alcool_i,13_seguranca,"Sem fonte; e obito com causa basica F10, colocado lado a lado com quantidade_posse_uso_entorpecente (ocorrencia policial) sem distincao",,renomear,dados-v2.0.0
total_mortalidade_domicilio,sim_obitos_ocorridos_no_domicilio_i,13_seguranca,"'_domicilio' designa local de OCORRENCIA do obito, mas se le como municipio de residencia (36 colunas da familia usam esse sufixo)",,renomear,dados-v2.0.0
quantidade_feminicidio,fbsp_feminicidio_i,13_seguranca,"Sem fonte; sugere equivalencia com total_mortalidade_homicidio_feminino (SIM), que e outro universo",,renomear,dados-v2.0.0
quantidade_morte_policiais_civis_confronto_em_servico,fbsp_mortes_policiais_civis_confronto_em_servico_i,13_seguranca,"'morte' no SINGULAR contra 'mortes' em todas as irmas (mesma familia: _civis_fora_de_servico, _militares_confronto_em_servico, _militares_fora_de_servico)",,renomear,dados-v2.0.0
quantidade_mortes_policiais_confronto,fbsp_mortes_policiais_agregado_i,13_seguranca,Mesmo problema de agregado convivendo com partes,,renomear,dados-v2.0.0
quantidade_mortes_intervencao_policial,fbsp_mortes_intervencao_policial_agregado_i,13_seguranca,Agregado convivendo com as quatro partes (civil/militar x em servico/fora de servico) sem indicacao de que somar as partes duplica o agregado,,renomear,dados-v2.0.0
quantidade_roubo_furto_veiculos,fbsp_roubo_e_furto_veiculos_agregado_i,13_seguranca,Nao deixa claro se e roubo+furto somados ou uma terceira categoria; convive com quantidade_roubo_veiculos e quantidade_furto_veiculos,,renomear,dados-v2.0.0
proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais,fbsp_mortes_intervencao_policial_sobre_mvi_prop,13_seguranca,"ERRO DE DIGITACAO publicado ('intenvencao' em vez de 'intervencao'), alem de 'x' como separador de razao; anuario.R:35 e renomear_variaveis.R:144",,renomear,dados-v2.0.0
quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,fbsp_posse_e_porte_ilegal_arma_agregado_i,13_seguranca,Mesma ambiguidade agregado-vs-categoria; convive com as duas partes,,renomear,dados-v2.0.0
grupo,fbsp_grupo_municipio_cat,13_seguranca,"PUBLICADO como coluna 399 com nome maximamente generico; e a classificacao Grupo 1..4 do FBSP, sem definicao em lugar nenhum, e colide com o 'grupo' (vulneravel) do Disque 100",,renomear,dados-v2.0.0
quantidade_homicidio_doloso,fbsp_homicidio_doloso_i,13_seguranca,"Declarada STRING no dicionario apesar de ser contagem; cobertura restrita (27 capitais, 2016-2021) invisivel no nome",,renomear,dados-v2.0.0
total_acao,cgu_constatacoes_i,14_corrupcao,"Nome generico E semanticamente errado: conta CONSTATACOES, nao acoes; alem disso 'acao' e o nome de outra coluna do proprio bruto (cgu$acao = acao orcamentaria)",,renomear,dados-v2.0.0
