slug,camada,dimensao,orgao_origem,via_declarada,metodo_atual,automatizavel_declarado,tem_extrair,tem_tratar,tem_manifesto,tem_raw,linhas_publicadas,municipios,janela_publicada,alvo_de_acesso,bloqueio_principal,prioridade
06_financas,dimensao,06_financas,Tesouro SICONFI e CGU,BD e Portal da Transparencia,arquivo_local,—,nao,NAO,nao,nao,180023,5570,1989-2024,bigquery,"sem produtor; consulta legada baixava 18,5 milhoes de linhas; achados 3, 4 e 5 mitigados no ledger",1
07_recursos_humanos,dimensao,07_recursos_humanos,IBGE MUNIC,doze xlsx por edicao,arquivo_local,—,nao,NAO,nao,nao,66824,5570,2009-2023,http_por_edicao,sem produtor; mapeamento por posicao de coluna; faltam 2010 2016 2022,2
08_energia_internet,dimensao,08_energia_internet,Anatel e IBGE,BD e arquivos locais,arquivo_local,—,nao,NAO,nao,nao,111288,5570,2004-2024,bigquery,sem produtor; Luz Para Todos depende do pacote munifacil fora do CRAN,3
09_educacao,dimensao,09_educacao,INEP,Base dos Dados,arquivo_local,—,nao,consolidador,—,—,111388,5570,2005-2024,consolidacao,o alvo dim_09_educacao FALHA de proposito: a consolidacao nao reproduz o publicado,1
10_saude,dimensao,10_saude,Ministerio da Saude SI-PNI e-Gestor e IEPS,BD e IEPS Data,arquivo_local,—,nao,NAO,nao,nao,149144,5570,1994-2021,misto,sem produtor; IEPS exige download manual e tem licenca a verificar,2
11_transportes,dimensao,11_transportes,Mobilidados/ITDP e Santini,BD e planilha colaborativa,arquivo_local,—,nao,consolidador,—,—,183814,5570,1991-2024,consolidacao,o alvo dim_11_transportes FALHA de proposito: a consolidacao nao reproduz o publicado,2
12_habitacao,dimensao,12_habitacao,Ministerio das Cidades / Caixa,arquivo local sem URL,arquivo_local,—,nao,NAO,nao,nao,94832,5570,2007-2024,http_dados_abertos,sem produtor; achado 16 mitigado; a correcao de fundo depende da planilha original,1
13_seguranca,dimensao,13_seguranca,Ministerio da Saude SIM e FBSP,Base dos Dados,arquivo_local,—,nao,NAO,nao,nao,132907,5640,1996-2021,bigquery,sem produtor; licenca do FBSP INCOMPATIVEL com CC BY 4.0; 70 codigos nao municipais,1
14_corrupcao,dimensao,14_corrupcao,CGU,microdados do Programa de Fiscalizacao,arquivo_local,—,nao,NAO,nao,nao,1516,1352,2006-2018,http_dados_abertos,sem produtor; granularidade nativa e de evento e nao de painel,3
15_dados_historicos,dimensao,15_dados_historicos,Kustov e Pardelli 2024 e IBGE,pacote de replicacao e planilha,arquivo_local,—,nao,NAO,nao,nao,5646,5592,transversal,nao_reobtenivel,sem produtor NENHUM; nao ha pacote de replicacao publico e a planilha veio de CD-ROM,4
16_eleicoes,dimensao,16_eleicoes,TSE,BD e pacotes de acesso,arquivo_local,—,nao,NAO,nao,nao,133496,5568,2000-2023,bigquery,sem produtor; eleicoes de 2024 ausentes; anos_eleicao nao tem consumidor,1
